row.ID,Anisacanthus.quadrifidus,Physostegia.virginiana,Ruellia.brittoniana,Salvia.azurea,Salvia.ballotiflora,Salvia.blepharophylla,Salvia.chionophylla,Salvia.coccinea,Salvia.darcyi,Salvia.farinacea,Salvia.greggii,Salvia.leucantha,Salvia.microphylla,Salvia.regla,Salvia.roemeriana,Salvia.sinaloensis,Scutellaria.suffrutescens,Scutellaria.wrightii,Stachys.coccinea
9,0,0,0,0,0,2929.071,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,195.2725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,162.7165,0,0,0,0,0,0,0,0,0,0,0
52,0,0,166.3123,0,0,0,157.0811,0,0,0,148.9234,0,0,286.084,108.8042,0,0,0,0
53,0,0,0,0,0,0,0,725.3663,0,0,0,0,0,0,0,0,409.0002,0,0
69,0,0,0,0,0,0,112.8553,0,187.8727,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,5190.583,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,57.15585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,1176.141,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,1135.834,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,1485.831,0,0,0,0,0
106,0,0,0,206.61004,85.38782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,329.5268,676.0184,0,0,0,0,0,0,0
126,0,0,0,0,208.2574,0,318.9256,0,0,0,0,0,0,0,0,0,0,0,0
131,760.46677,960.14119,208.56767,0,0,0,0,1714.17686,58.22772,0,0,0,0,56.79898,632.27411,106.89918,207.00621,0,571.59457
141,0,0,0,0,60.48588,0,0,937.84839,0,175.82368,0,0,0,0,0,0,0,0,267.89025
155,0,0,0,0,0,0,0,0,0,0,0,0,0,104.9871,0,0,0,0,0
156,0,183.6362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1037.095,1548.987,0,2117.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,225.5093,0,0,0,0,10574.82,0,0,0,0,0
188,0,0,0,4289.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,26.07131,1703.85071,174.29079,913.09375,275.33998,32.06671,50.55592,0,57.58045,37.95303,0,0,0,0,22.49016,0,0,0,0
214,0,0,0,7328.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,24.99174,0,0,0,0,0,0,0,0,0,0
217,0,449.7626,0,0,174.50563,0,0,665.42911,0,0,45.38924,0,0,0,648.58421,0,137.52235,0,0
220,0,0,0,0,0,0,809.76273,0,0,0,0,0,0,0,0,0,24.31003,0,0
243,0,0,328.6626,0,0,0,0,0,0,0,0,0,0,0,314.5965,0,122.405,122.5542,252.0162
276,0,0,37540.297,0,0,0,0,0,15579.935,4518.945,0,0,0,13017.18,0,0,3479.999,1805.034,0
277,0,0,43470.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,10636.8986,990.9656,75006.6575,0,0,0,0,0,8649.3122,7309.5488,0,0,10914.3034,30768.2021,0,0,9972.7874,6703.9576,0
288,231.4057,1471.3476,6072.83,2278.7096,1113.3552,0,186.2324,242.7129,1109.6761,137.6365,0,0,493.0624,6134.9746,953.9682,457.6391,2027.7967,2725.7619,0
289,1514.6946,1942.47,10897.4179,0,0,0,0,0,5256.8624,0,0,0,0,1321.4544,599.197,649.2326,1904.9927,338.5208,0
299,0,0,860.7178,0,0,0,0,0,663.445,0,0,0,0,0,0,0,0,0,0
302,1166.087,0,9367.759,0,0,0,0,0,0,0,0,0,0,0,0,0,1889.432,2137.646,0
304,0,0,20618.3092,0,0,61313.8678,0,0,0,0,33257.118,0,0,0,0,0,0,0,756.8951
321,0,0,0,0,0,2805.992,0,0,0,0,4028.131,0,0,0,0,0,0,0,0
334,0,0,0,0,0,1966.795,21878.949,0,0,2201.763,0,56530.546,0,4599.831,0,0,0,0,0
341,0,0,0,0,0,949.1045,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,1965.007,3133.597,48592.032,0,4110.04,11021.234,2567.997,274654.286,6452.741,0,0,6229.967,0,0,0
351,0,0,0,0,4148.4978,667.2464,0,0,0,295.6403,0,29227.4064,0,0,0,0,0,0,0
352,0,2185.159,0,0,0,0,0,0,26108.93,10352.031,0,0,0,11437.58,0,0,16993.559,1989.734,0
353,0,0,0,0,0,0,2097.826,0,0,0,0,0,0,0,0,0,1142.017,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5991.316,1121.612,0
356,0,9013.8933,470.0999,103590.6844,58021.6989,944.7938,67582.1395,6452.9001,4355.9119,36968.6106,53687.787,103913.6354,0,4386.9989,0,6574.2959,105484.8683,8086.3254,0
357,49705.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,5328.203,42029.995,0,0,0,14414.423,0,49070.546,0,0,0,115585.069,0,0
359,0,0,0,0,0,0,0,0,0,0,21610.86,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,5991.795,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,2749.329,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,6660.587,0,0,0,0,0,0,0
373,0,0,0,0,0,5288.059,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,2222.44,0,88849.034,58983.7317,671.4255,65303.7077,936.0305,2999.4023,10687.2481,47975.5307,104411.3668,0,3723.0058,0,3442.4082,100184.7819,6290.5501,0
375,0,38236.57,0,220199.84,92276.29,180332.4,40448.35,96263.05,180646.43,138059.19,145582.71,165433.27,285848.1,62171.68,106412.88,111210.63,58010.43,85018.81,45977.39
377,0,0,0,0,0,0,0,0,0,0,0,2206.261,0,0,0,0,0,0,0
391,0,0,0,23674.4753,1865.304,7152.9795,3909.4826,26274.2963,5972.5925,5852.5652,4007.2631,73949.6795,0,0,0,131876.6486,0,538.6827,0
396,0,0,0,51533.0325,41834.9346,846.9796,19613.4303,18146.2465,0,54408.9622,1348.8376,63347.6361,977.5401,5518.863,0,2500.7804,13763.8811,5807.9338,0
399,0,0,0,0,0,0,0,0,0,0,2478.308,0,0,0,0,0,0,0,0
404,0,0,0,0,0,233.435,691.5338,0,0,0,3782.4271,3778.5961,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,590.1037,0,0,0,0,0,0,0,0,0,0,0
422,0,0,28479.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111.173,0,0
430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15128.68,0,0
440,22466.8,0,11908.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396.294,0,0
447,0,0,0,0,0,0,0,0,0,0,3008.349,0,0,0,0,0,0,0,0
448,0,0,0,0,689.4317,0,0,0,0,0,12209.4913,0,0,0,0,0,0,0,0
451,378131.79,1664366.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476571.25,176261.08,19759.73
454,0,0,0,0,3723.856,11600.366,0,0,5462.802,4390.898,0,7924.242,22146.867,15868.66,0,0,1047.167,0,0
468,0,0,0,0,0,0,0,0,0,0,15407.13,0,0,0,0,0,0,0,0
469,0,5450.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,29220.863,261327.968,0,45787.997,26505.519,0,147159.984,0,326729.913,0,0,0,6507.525,0,0
471,0,0,0,0,0,0,0,0,2888.888,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,3974.104,0,0,0,0,0,21009.335,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875.207,0,0
477,0,0,0,47674.768,8067.215,13534.063,1454.804,27196.28,21427.47,7567.325,9370.216,169791.435,0,0,0,147606.537,0,2077.678,0
484,0,0,0,0,1621.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,14689.431,0,10958.5583,0,0,0,0,0,0,0,0,0,0,0,150.7894,0
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440.85,0,0
497,0,0,0,0,1630.6207,630.2474,0,0,0,3500.4189,0,22638.214,0,0,0,0,0,0,0
499,11431.45,0,26531.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,4850.326,0,0,368.8376,0,0,1466.2934,3350.614,1324.9229,0
503,0,0,0,0,0,0,0,0,3083.035,0,0,0,0,0,0,0,0,0,0
504,0,0,0,0,4622.279,13129.899,0,0,0,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,2195.2202,6743.776,557.9199,0,6068.467,0,0,0,0,0,0,0,0,0
513,0,0,0,0,0,1228.318,0,0,0,0,0,0,0,0,0,0,0,0,0
515,0,0,0,0,0,87368.58,0,0,0,0,0,0,0,0,0,0,0,0,0
518,6221.73,0,1130.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,0,0,0,0,4345.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0,0,3911.233,0,0,0,0,0,0,0,0,0
528,2134.56663,0,0,0,1920.4121,0,46.82268,1833.8552,7303.75055,16752.54615,4514.7255,0,0,0,0,4785.50663,0,11469.19867,0
539,0,0,0,0,0,0,0,0,0,0,919.3749,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,4576.121,0,0,0,0,0,0,0,0,0
546,0,0,0,0,44478.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,0,1177.148,0,0,0,0,0,0,0,0
554,0,0,0,0,826.0045,5967.7538,0,0,10315.5514,0,0,14541.0791,0,180.4107,0,0,0,0,0
557,0,0,0,0,0,0,0,0,0,8982.146,0,0,0,0,0,0,0,0,0
566,16853.8215,0,0,0,28049.7399,443.5517,0,17779.2728,0,6319.9644,0,90648.0918,25764.2356,3671.176,0,0,0,0,0
568,0,0,0,0,0,0,0,629.337,0,4954.031,0,0,0,0,0,0,0,0,0
569,0,0,2140.783,0,0,226166.254,0,0,0,0,0,0,0,0,0,0,0,0,0
