row.ID	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
74	0	0	0	0	57.15585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	0	0	0	0	0	0	0	1176.141	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	1135.834	0	0	0	0	0
122	0	0	0	0	0	0	0	0	0	0	329.5268	676.0184	0	0	0	0	0	0	0
131	760.46677	960.14119	208.56767	0	0	0	0	1714.17686	58.22772	0	0	0	0	56.79898	632.27411	106.89918	207.00621	0	571.59457
213	26.07131	1703.85071	174.29079	913.09375	275.33998	32.06671	50.55592	0	57.58045	37.95303	0	0	0	0	22.49016	0	0	0	0
217	0	449.7626	0	0	174.50563	0	0	665.42911	0	0	45.38924	0	0	0	648.58421	0	137.52235	0	0
220	0	0	0	0	0	0	809.76273	0	0	0	0	0	0	0	0	0	24.31003	0	0
304	0	0	20618.3092	0	0	61313.8678	0	0	0	0	33257.118	0	0	0	0	0	0	0	756.8951
334	0	0	0	0	0	1966.795	21878.949	0	0	2201.763	0	56530.546	0	4599.831	0	0	0	0	0
446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2396.294	0	0
451	378131.79	1664366.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476571.25	176261.08	19759.73
472	0	0	0	0	0	3974.104	0	0	0	0	0	21009.335	0	0	0	0	0	0	0
508	0	0	0	0	0	2195.2202	6743.776	557.9199	0	6068.467	0	0	0	0	0	0	0	0	0
520	0	0	0	0	4345.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0
566	16853.8215	0	0	0	28049.7399	443.5517	0	17779.2728	0	6319.9644	0	90648.0918	25764.2356	3671.176	0	0	0	0	0
569	0	0	2140.783	0	0	226166.254	0	0	0	0	0	0	0	0	0	0	0	0	0
600	0	0	0	5949.7314	0	0	300.6647	0	0	0	0	0	6648.8833	13488.2611	0	0	0	0	0
601	0	0	0	0	0	13819.2714	245.5152	0	0	0	0	0	5909.3579	195.6059	0	0	0	0	0
608	55812.2023	0	0	3680.8077	22641.4083	92005.7399	13081.9215	136.6683	9058.5686	0	1057.9281	0	12856.9211	1448.7197	2080.7258	0	573.946	2360.3682	0
619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482.5196
