row.ID,Anisacanthus.quadrifidus,Physostegia.virginiana,Ruellia.brittoniana,Salvia.azurea,Salvia.ballotiflora,Salvia.blepharophylla,Salvia.chionophylla,Salvia.coccinea,Salvia.darcyi,Salvia.farinacea,Salvia.greggii,Salvia.leucantha,Salvia.microphylla,Salvia.regla,Salvia.roemeriana,Salvia.sinaloensis,Scutellaria.suffrutescens,Scutellaria.wrightii,Stachys.coccinea
106,454.2814,0,0,0,0,0,0,279.7057,0,962.42,0,0,0,741.4364,0,0,0,0,0
122,0,1314.474,0,0,0,0,0,0,0,0,0,0,0,0,0,49498.243,0,0,4263.247
133,0,14140.75,0,0,0,0,0,0,0,0,0,0,0,0,17476.33,0,68271.3,0,62874.32
157,0,0,3663.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,2230.822,0,0,0,0,0,0,0,0,0
169,0,0,7331.255,0,0,0,4863.1116,0,653.5696,0,0,0,746.8304,0,0,0,0,512.5547,0
171,0,0,0,0,0,0,0,0,0,653.602,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,447.3608,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0,402.4041,0,0,0,0,0,0
301,0,1547.811,0,0,0,0,0,0,0,0,0,0,0,0,1316.761,0,0,0,0
339,0,0,0,0,0,0,0,0,0,35640.52,0,0,0,0,0,0,0,0,0
351,0,0,6875.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,347521.25,0,0,10901.05,0,0,0,0,0,0,19787.24,0,0,0,0
374,0,0,0,0,212831.438,0,0,14550.137,0,0,5567.078,0,0,0,14596.002,0,0,0,0
375,234649.95,1608661.38,131370.76,28833.28,90070.5,180446.48,0,29990.23,58522.84,97686.71,47453.95,95128.59,0,23135.41,70430.92,93346.25,178845.45,171702.81,0
396,0,0,0,0,47897.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,7006.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,120365.99,774130.64,262734.81,97486.65,0,30426.5,53994.31,168776.02,105714.32,100302.6,84459.45,80915.14,19564.86,77482.26,39710.91,0,91397.83,84739.02,0
451,1267519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,37253.93,307780.41,23422.78,61591.65,0,14702.88,31047.25,72785.83,35378.99,78184.98,44964.53,44229.1,46203.91,66111.44,32297.75,99926.91,70397.46,120247.55,256723.15
478,362319.51,348074.71,253564.12,335323.32,790585.77,446304.6,181473.14,547335.84,718066.69,1152703.21,379513.24,773002.02,300877.84,545634.68,54028.21,184626.64,322104.7,414926.43,510768.35
481,216266.27,172121.81,101815.88,175675.54,238369.12,180426.91,92517.53,307148.75,357908.63,504208.61,93497.94,444142.48,71465.53,298581.15,0,115256.41,177996.73,228751.1,299011.03
494,19156.961,0,0,0,0,0,0,19353.209,15888.78,0,3847.553,0,6011.115,24450.541,0,0,9707.625,0,0
500,139774.8,284630,465849.1,0,288337.6,159822.9,0,0,556951.4,126611.6,323834.5,445577.6,296734.3,0,494578.7,825051.3,617006.1,409741,0
524,0,0,0,0,97398.996,41843.37,0,38194.427,16517.117,18797.868,14577.428,20352.492,9020.139,5469.912,0,0,7322.28,22468.606,0
528,316109.85,557047.29,126668.64,0,1273581.35,419288.72,0,293739.54,712965.38,831810.79,183878.3,927324.14,34617.34,386705.65,424420.38,1077245.64,628428.86,568995.67,544023.29
615,0,0,0,0,0,0,0,0,2866.532,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,2349.303,0,0,0,0,0,0,0,0,0,0
834,0,0,0,0,117636.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,6903.62,0,3586.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,0,5835.331,105472.586,0,0,0,0,0,0,0,0,0,0,0,0,3995.555,0
922,0,0,31344.744,0,0,0,0,0,0,0,1398.791,0,0,0,0,0,0,0,0
966,0,0,2101.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,0,3848.289,0,0,0,0,0,3328.335,0,0,0,0,0,0,0,0,0,0,0
1030,1911.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,0,1844.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,0,18329.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,0,651.7774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247.4548
1395,0,0,9844.398,311712.409,0,0,678477.007,2162.802,0,274155.787,0,0,2229.912,0,0,0,0,0,0
1396,0,0,0,0,66557.9,0,62473.27,0,0,25146.61,0,0,0,0,0,0,0,0,0
1415,0,0,0,26822.416,39835.994,0,86520.746,0,0,0,0,0,0,0,0,0,0,1236.419,0
1429,4678.8547,0,15448.4128,418900.4284,2414762.525,0,1694768.947,4102.0218,0,1020651.102,0,17252.9837,855.7665,0,0,854611.7014,1212.113,157035.0264,0
1492,0,0,0,1507.824,0,0,2114.406,0,0,0,0,0,0,0,0,0,0,0,0
1495,0,0,0,4209.451,9954.293,0,8313.282,0,0,4739.053,0,0,0,0,0,0,0,1007.985,0
1774,0,5147.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1784,0,0,6499.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1845,0,0,8548.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,0,0,0,0,0,0,0,0,254.1936,0,0,0,295.1829,0,0,0,0,0,0
1947,0,0,0,0,0,0,3218.0764,0,0,0,0,0,0,0,0,0,0,998.6019,0
1949,0,0,0,0,0,0,24445.3906,486.7078,0,0,0,0,0,0,0,0,0,3466.7126,0
1989,3453.184,0,0,0,96595.262,0,0,0,0,12275.049,0,0,0,0,0,17779.474,0,2758.385,0
1992,0,0,0,0,34481.237,0,0,0,0,4227.319,0,0,0,0,0,8146.095,0,0,0
1995,0,0,0,0,6876.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,111.8868,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202.004,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.9363,0
2061,0,0,0,2092.566,0,0,0,1181.939,0,0,0,0,0,0,0,0,0,12975.204,0
2080,1451.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,2036.6744,0,0,0,0,0,0,0,0,0,0,0,0,707.7847,0
2088,6131.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,9378.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,25705.864,0,4781.296,0,0,11766.76,0,0,0,0,0,0,0,4848.869,0
2095,372.0836,0,0,0,78549.5891,0,13786.4232,687.2768,0,24818.5025,0,0,0,0,0,0,0,0,0
2140,0,0,0,0,0,0,0,0,0,0,55.73683,0,0,0,0,0,0,0,0
2154,580.5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2163,1725.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,1428.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2214,0,0,0,0,0,0,0,0,52.02724,0,0,0,0,0,0,0,0,217.81865,0
2249,0,20994.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2786.281
2286,0,0,0,0,0,0,0,0,0,0,0,0,175.6682,0,0,0,0,0,0
2296,0,6583.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2344,0,29006.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2359,0,0,0,0,0,0,0,0,0,0,0,0,1574.151,0,0,0,0,0,0
2392,0,0,0,0,0,0,0,0,0,0,0,0,23233.96,0,11997.2,0,0,50727.9,0
2394,0,0,0,0,0,0,0,0,0,0,0,0,1037.633,0,0,0,0,0,0
2421,0,0,0,0,0,0,0,0,0,682.1376,0,0,0,0,0,0,0,0,0
2433,0,2518.329,0,0,18470.081,12622.561,0,0,0,7794.421,0,0,2639.528,0,0,0,0,10768.869,0
2473,4126.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2478,0,0,0,0,0,0,0,0,0,0,1749.106,0,0,0,0,0,0,0,0
2480,0,18240.17,0,0,0,261056.89,0,56286.12,0,45104.67,0,178779.91,0,41041.3,0,38346.88,62030.69,26546.42,89426.5
2495,0,0,0,0,0,0,0,0,7629.939,0,0,4565.608,0,0,0,0,0,4092.323,13531.659
2540,0,0,0,5746.607,0,0,0,0,0,0,0,0,2301.038,0,0,0,0,0,0
2548,0,0,0,0,0,0,0,0,0,0,264.2445,0,0,0,0,0,0,0,0
2574,517.9303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
