row.ID	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
122	0	1314.474	0	0	0	0	0	0	0	0	0	0	0	0	0	49498.243	0	0	4263.247
451	1267519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
699	0	0	0	0	0	0	0	0	2349.303	0	0	0	0	0	0	0	0	0	0
1018	0	3848.289	0	0	0	0	0	3328.335	0	0	0	0	0	0	0	0	0	0	0
1037	0	1844.848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1395	0	0	9844.398	311712.409	0	0	678477.007	2162.802	0	274155.787	0	0	2229.912	0	0	0	0	0	0
1429	4678.8547	0	15448.4128	418900.4284	2414762.525	0	1694768.947	4102.0218	0	1020651.102	0	17252.9837	855.7665	0	0	854611.7014	1212.113	157035.0264	0
1947	0	0	0	0	0	0	3218.0764	0	0	0	0	0	0	0	0	0	0	998.6019	0
1949	0	0	0	0	0	0	24445.3906	486.7078	0	0	0	0	0	0	0	0	0	3466.7126	0
1989	3453.184	0	0	0	96595.262	0	0	0	0	12275.049	0	0	0	0	0	17779.474	0	2758.385	0
1992	0	0	0	0	34481.237	0	0	0	0	4227.319	0	0	0	0	0	8146.095	0	0	0
1995	0	0	0	0	6876.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2202.004	0
2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888.9363	0
2061	0	0	0	2092.566	0	0	0	1181.939	0	0	0	0	0	0	0	0	0	12975.204	0
2080	1451.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2085	0	0	0	0	2036.6744	0	0	0	0	0	0	0	0	0	0	0	0	707.7847	0
2094	0	0	0	0	25705.864	0	4781.296	0	0	11766.76	0	0	0	0	0	0	0	4848.869	0
2095	372.0836	0	0	0	78549.5891	0	13786.4232	687.2768	0	24818.5025	0	0	0	0	0	0	0	0	0
2574	517.9303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2772	0	9099.772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3119	4456.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4401	0	0	0	0	0	0	0	0	0	0	0	0	236.7406	0	0	0	0	0	0
4788	617.4293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5604	396.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6632	1452.518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7023	0	0	0	0	0	0	0	0	0	0	708.8833	0	0	0	0	0	0	0	0
7497	0	0	0	0	0	0	0	0	0	0	183.2559	0	0	0	0	0	0	0	10993.1281
8063	0	0	0	0	0	0	0	0	0	0	115.3386	0	0	0	0	0	0	0	0
9490	1001.1521	0	0	0	0	0	0	0	0	139.3797	0	0	0	0	0	0	0	0	0
10407	17036.4935	797.7519	1804.9171	1944.4956	0	0	7350.4967	3040.5633	195.0773	6796.0031	2016.7829	0	1056.3095	1556.5361	4707.7954	0	893.579	351.9277	0
10769	1659.009	1322.9434	5549.3938	5162.8042	7444.547	7033.0788	2538.0656	4839.7224	642.4857	9709.5498	1524.0636	4813.4276	1159.204	2156.1804	1529.0114	0	1494.1822	269.5119	0
11090	0	0	238.7314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11779	582.0692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11970	1289.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11997	0	1270.8292	0	0	0	0	0	1359.1646	0	0	351.7388	0	0	0	0	0	438.9847	0	0
13324	0	0	0	0	0	0	0	0	0	120.8468	0	0	0	0	0	0	0	0	0
13617	0	0	0	0	0	0	0	391.093	0	0	0	0	0	0	0	0	0	0	0
14039	1494.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15500	0	0	913.5507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15580	0	0	0	0	0	0	0	0	0	0	384.7443	0	1287.9254	0	0	0	0	1115.4742	0
18543	3544.0823	0	0	0	0	0	0	177.9138	0	0	0	0	0	0	0	12638.2243	0	928.943	0
21092	0	0	3096.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23206	0	0	0	0	2146.269	1099.745	0	0	0	0	0	1219.949	0	0	0	0	0	0	0
23398	0	0	0	0	0	0	0	0	0	12918.73	0	0	0	0	0	0	0	0	0
23927	0	0	0	0	0	0	0	0	0	0	231.0129	0	321.0731	0	0	0	0	0	0
23973	0	0	0	0	0	0	0	0	249.3698	0	555.0533	0	0	0	0	0	0	0	0
24150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2125.339	0
24669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745.0278	0
25134	0	0	0	994.6438	0	0	0	564.0736	0	550.2071	0	0	0	0	0	0	0	0	0
25355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1537.238	0
25669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3188.485	0
25819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9257.149	0	0	0	0
26140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1654.655	0	0
29351	36051.97	18600.27	0	0	239186.12	68106.28	0	9776.09	92282.76	78937.5	8374.82	109521.81	0	33812.98	0	0	46138.01	0	0
30538	0	2230.285	0	0	0	0	0	1150.803	0	0	0	0	0	0	0	0	1220.685	0	0
