row.ID	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
106	454.2814	0	0	0	0	0	0	279.7057	0	962.42	0	0	0	741.4364	0	0	0	0	0
163	0	0	0	0	0	0	0	0	0	2230.822	0	0	0	0	0	0	0	0	0
339	0	0	0	0	0	0	0	0	0	35640.52	0	0	0	0	0	0	0	0	0
351	0	0	6875.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	0	0	0	0	347521.25	0	0	10901.05	0	0	0	0	0	0	19787.24	0	0	0	0
374	0	0	0	0	212831.438	0	0	14550.137	0	0	5567.078	0	0	0	14596.002	0	0	0	0
375	234649.95	1608661.38	131370.76	28833.28	90070.5	180446.48	0	29990.23	58522.84	97686.71	47453.95	95128.59	0	23135.41	70430.92	93346.25	178845.45	171702.81	0
396	0	0	0	0	47897.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
834	0	0	0	0	117636.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1030	1911.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1196	0	651.7774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1247.4548
1396	0	0	0	0	66557.9	0	62473.27	0	0	25146.61	0	0	0	0	0	0	0	0	0
1492	0	0	0	1507.824	0	0	2114.406	0	0	0	0	0	0	0	0	0	0	0	0
1495	0	0	0	4209.451	9954.293	0	8313.282	0	0	4739.053	0	0	0	0	0	0	0	1007.985	0
1873	0	0	0	0	0	0	0	0	254.1936	0	0	0	295.1829	0	0	0	0	0	0
2028	0	0	0	0	0	0	0	0	111.8868	0	0	0	0	0	0	0	0	0	0
2140	0	0	0	0	0	0	0	0	0	0	55.73683	0	0	0	0	0	0	0	0
2154	580.5135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2214	0	0	0	0	0	0	0	0	52.02724	0	0	0	0	0	0	0	0	217.81865	0
2421	0	0	0	0	0	0	0	0	0	682.1376	0	0	0	0	0	0	0	0	0
2433	0	2518.329	0	0	18470.081	12622.561	0	0	0	7794.421	0	0	2639.528	0	0	0	0	10768.869	0
2473	4126.606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2495	0	0	0	0	0	0	0	0	7629.939	0	0	4565.608	0	0	0	0	0	4092.323	13531.659
2548	0	0	0	0	0	0	0	0	0	0	264.2445	0	0	0	0	0	0	0	0
2597	0	0	0	0	0	0	0	0	0	0	256.9642	0	0	0	0	0	0	0	0
2910	6276.561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3003	82145.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3199	0	0	0	0	0	0	3199.086	0	0	0	0	0	0	0	0	0	0	0	0
3462	0	0	0	0	0	0	2667.875	0	0	0	0	0	0	0	0	0	0	0	0
3798	1091.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4330	0	0	0	0	0	0	0	0	0	152.2568	0	0	0	0	0	0	0	0	0
4806	0	0	0	0	0	0	0	0	0	140.8592	0	0	0	0	0	0	0	0	0
6346	680.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6925	0	130.0251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7259	9430.292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7261	0	111.2822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7349	41378.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8339	0	850.5276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9387	0	244.2433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11039	0	0	0	0	0	0	0	0	67.40954	0	0	0	0	0	0	0	0	0	0
11844	0	0	0	0	0	0	0	0	0	247.4288	0	0	0	0	0	0	0	0	0
14612	0	0	2365.481	0	0	0	0	0	0	658.091	0	0	0	0	0	0	0	0	0
15108	0	0	527.7688	0	0	0	0	0	0	1803.2274	0	0	0	0	0	0	0	0	0
16164	0	0	0	2451.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18754	0	0	3836.458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19372	0	0	0	0	0	0	0	0	0	1996.19	0	0	0	0	0	0	0	0	0
19750	0	0	831.0882	0	0	0	0	0	0	5287.3858	0	0	0	0	0	0	0	0	0
20998	0	0	208.097	0	0	0	0	0	0	0	0	0	0	0	238.5221	0	0	0	0
21279	0	0	0	0	0	0	1543.37	0	0	0	0	0	0	0	0	0	0	0	0
26429	0	0	0	0	0	0	0	0	0	1990.184	0	0	0	0	0	0	0	0	0
26548	0	0	0	0	0	0	0	0	0	9142.117	0	0	0	0	0	0	0	0	0
27352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22423.57	0
29861	0	0	0	0	5270.228	0	0	0	0	0	0	0	0	14090.756	0	0	0	0	0
31895	0	0	0	0	9606.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32284	34189.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
