row.ID	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
157	0	0	3663.549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	0	0	7331.255	0	0	0	4863.1116	0	653.5696	0	0	0	746.8304	0	0	0	0	512.5547	0
301	0	1547.811	0	0	0	0	0	0	0	0	0	0	0	0	1316.761	0	0	0	0
411	0	7006.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
445	120365.99	774130.64	262734.81	97486.65	0	30426.5	53994.31	168776.02	105714.32	100302.6	84459.45	80915.14	19564.86	77482.26	39710.91	0	91397.83	84739.02	0
456	37253.93	307780.41	23422.78	61591.65	0	14702.88	31047.25	72785.83	35378.99	78184.98	44964.53	44229.1	46203.91	66111.44	32297.75	99926.91	70397.46	120247.55	256723.15
478	362319.51	348074.71	253564.12	335323.32	790585.77	446304.6	181473.14	547335.84	718066.69	1152703.21	379513.24	773002.02	300877.84	545634.68	54028.21	184626.64	322104.7	414926.43	510768.35
481	216266.27	172121.81	101815.88	175675.54	238369.12	180426.91	92517.53	307148.75	357908.63	504208.61	93497.94	444142.48	71465.53	298581.15	0	115256.41	177996.73	228751.1	299011.03
494	19156.961	0	0	0	0	0	0	19353.209	15888.78	0	3847.553	0	6011.115	24450.541	0	0	9707.625	0	0
500	139774.8	284630	465849.1	0	288337.6	159822.9	0	0	556951.4	126611.6	323834.5	445577.6	296734.3	0	494578.7	825051.3	617006.1	409741	0
524	0	0	0	0	97398.996	41843.37	0	38194.427	16517.117	18797.868	14577.428	20352.492	9020.139	5469.912	0	0	7322.28	22468.606	0
528	316109.85	557047.29	126668.64	0	1273581.35	419288.72	0	293739.54	712965.38	831810.79	183878.3	927324.14	34617.34	386705.65	424420.38	1077245.64	628428.86	568995.67	544023.29
615	0	0	0	0	0	0	0	0	2866.532	0	0	0	0	0	0	0	0	0	0
922	0	0	31344.744	0	0	0	0	0	0	0	1398.791	0	0	0	0	0	0	0	0
966	0	0	2101.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2286	0	0	0	0	0	0	0	0	0	0	0	0	175.6682	0	0	0	0	0	0
2359	0	0	0	0	0	0	0	0	0	0	0	0	1574.151	0	0	0	0	0	0
2392	0	0	0	0	0	0	0	0	0	0	0	0	23233.96	0	11997.2	0	0	50727.9	0
2394	0	0	0	0	0	0	0	0	0	0	0	0	1037.633	0	0	0	0	0	0
2478	0	0	0	0	0	0	0	0	0	0	1749.106	0	0	0	0	0	0	0	0
2480	0	18240.17	0	0	0	261056.89	0	56286.12	0	45104.67	0	178779.91	0	41041.3	0	38346.88	62030.69	26546.42	89426.5
2540	0	0	0	5746.607	0	0	0	0	0	0	0	0	2301.038	0	0	0	0	0	0
2578	0	12739.62	0	0	0	0	0	44240.92	0	0	52403.6	0	0	63875.47	0	0	142727.58	0	0
2726	0	0	0	0	0	0	0	0	0	0	2002.795	0	0	2255.109	0	0	0	0	0
2878	188741.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3347	0	0	1741.404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3392	2094.408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13310	0	0	0	0	0	0	0	0	1606.17	0	0	0	0	0	0	0	0	0	0
13832	0	0	0	0	0	0	609.8391	0	0	0	0	0	0	0	0	0	0	0	0
26473	0	0	0	0	0	0	0	437.7125	0	0	0	0	0	0	0	0	0	0	0
30022	0	3880.079	0	0	23548.897	7524.744	0	0	13642.317	76821.409	14148.311	0	0	0	0	0	32627.902	0	0
30177	9609.797	3469.737	0	0	0	0	0	0	0	18442.559	0	23055.182	0	0	12259.111	55463.84	0	0	0
30604	12829.854	0	0	0	0	9573.27	0	44971.64	0	23344.889	0	3662.369	0	0	0	0	100857.391	0	0
30710	13858.246	96226.061	0	0	0	8836.831	0	0	23748.775	0	0	0	0	0	0	0	0	0	0
30763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36014.46	0	0
31066	0	34165.53	0	0	0	11576.16	0	0	0	0	0	0	0	0	0	0	0	0	0
31655	0	31543.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
