row.ID	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
133	0	14140.75	0	0	0	0	0	0	0	0	0	0	0	0	17476.33	0	68271.3	0	62874.32
171	0	0	0	0	0	0	0	0	0	653.602	0	0	0	0	0	0	0	0	0
216	0	0	0	0	0	0	0	0	0	0	447.3608	0	0	0	0	0	0	0	0
842	6903.62	0	3586.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1127	0	18329.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1784	0	0	6499.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1845	0	0	8548.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4257	2661.711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5736	0	0	0	3332.813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6018	0	564.3427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6151	0	0	0	0	37202.799	2838.988	0	0	3512.191	0	0	17734.188	0	0	0	0	0	0	0
13889	2014.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18671	0	0	25519.37	0	0	23239.89	206105.44	9156.12	0	0	0	0	0	0	0	0	0	0	0
19753	0	678.05338	0	0	0	48.16718	0	0	0	0	0	0	0	0	0	12701.14923	0	424.34873	0
21348	0	0	0	0	0	0	0	0	0	0	2532.043	0	0	0	0	0	0	0	0
21531	0	0	4873.629	0	0	2082.328	11904.703	0	0	0	0	0	0	0	0	0	0	0	0
21862	0	0	5652.248	0	0	6329.342	22676.904	0	0	0	0	0	0	0	0	0	0	0	0
21916	0	0	769.3379	0	0	2168.0581	2083.3321	947.8833	0	0	0	0	0	0	0	0	0	0	0
22850	0	0	223947.16	78967.08	0	67035.22	712658.71	57918.5	0	0	0	0	0	0	0	0	0	0	0
