row.ID	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
1774	0	5147.691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2088	6131.188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2091	9378.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2163	1725.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2170	1428.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2249	0	20994.315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2786.281
2296	0	6583.719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2344	0	29006.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2699	40475.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2788	154861.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2793	0	5490.513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2904	0	6811.781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2920	112708.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2931	1125319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3034	30463.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3036	217328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3041	42108.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3358	13578.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3371	5632.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3439	2527.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3442	1049.983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3644	2801.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3752	138101.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4152	178.1855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4153	9831.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4485	2458.538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4577	7074.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4583	3361.577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5315	187.1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6076	7194.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6145	1076.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6215	0	1864.2119	0	0	0	296.5782	0	0	0	0	0	0	0	0	0	0	0	0	0
6231	6140.441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6773	0	23374.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7015	0	2085.846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8450	0	1709.862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8944	2016.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9161	817.5617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
