row.ID,Individual,LeafConc,NectarConc,ATTRIBUTE_species,Pollinator,NPC.pathway,NPC.superclass,NPC.class
10769,RueBrit_19,2465.499,8250.497,Ruellia_brittoniana,BEE,Alkaloids,Tyrosine alkaloids,Phenylethylamines
10769,SalReg_B1,2183.863,2102.498,Salvia_regla,BIRD,Alkaloids,Tyrosine alkaloids,Phenylethylamines
10769,SalMic_1,8113.821,1815.438,Salvia_microphylla,BIRD,Alkaloids,Tyrosine alkaloids,Phenylethylamines
10769,SalReg_W4,3490.817,6522.224,Salvia_regla,BIRD,Alkaloids,Tyrosine alkaloids,Phenylethylamines
10812,AniQWr_2,111137.7,703.8006,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavones
10812,AniQWr_4,39912.31,2835.608,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavones
10907,SalGreg_5,50457.812,852.2561,Salvia_greggii,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavones
11130,AniQWr_4,128609.5,4146.511,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavanones
1127,PhysVir_3,2853.383,15079.805,Physostegia_virginiana,BEE,Fatty acids,Fatty esters,Wax monoesters
1196,StaCoc_2,32225.06,2494.91,Stachys_Coccinea,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
11970,AniQWr_1,31039.67,7738.817,Anisacanthus_quadrifidus,BIRD,Alkaloids,Pseudoalkaloids,pteridine alkaloids
12336,SalAzu_12,129952.124,3361.505,Salvia_azurea,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
12430,SalMic_4,278323.159,598.1464,Salvia_microphylla,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavanones
12837,SalRoe_6,640437.6,22345.202,Salvia_roemeriana,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavones
12837,ScutWri_4,419154.33,20035.901,Scutellaria_wrightii,BEE,Shikimates and Phenylpropanoids,Flavonoids,Flavones
13487,SalChio_8,30484.292,1968.835,Salvia_chionophylla,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
13670,SalLeu_26,31085.316,3288.632,Salvia_leucantha,BEE,Shikimates and Phenylpropanoids,Flavonoids,Flavones
14032,SalGreg_5,67053.09,2090.921,Salvia_greggii,BIRD,Shikimates and Phenylpropanoids,Flavonoids,Flavones
14063,SalAzu_12,189730.402,2069.996,Salvia_azurea,BEE,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
1429,SalFar_13,13636.0442,718844.493,Salvia_farinaceae,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,SalCoc_3,1076.1101,10977.818,Salvia_coccinea,BIRD,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,SalFar_10,48085.9,1022122.667,Salvia_farinaceae,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,ScutWri_6,4009.0121,121064.489,Scutellaria_wrightii,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,AniQWr_3,4539.9326,1813.576,Anisacanthus_quadrifidus,BIRD,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,SalAzu_10,7405.538,482941.351,Salvia_azurea,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,SalChio_8,4443.8894,2189046.332,Salvia_chionophylla,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,SalAzu_12,2459.2435,773759.934,Salvia_azurea,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,SalCoc_4,1490.8059,6795.713,Salvia_coccinea,BIRD,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,ScutWri_4,2370.4167,210665.905,Scutellaria_wrightii,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,SalBall_3,8011.2828,1489149.217,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,SalBall_5,8267.9448,2034137.515,Salvia_ballotiflora,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
1429,RueBrit_19,3019.2063,39310.489,Ruellia_brittoniana,BEE,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
