	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	0.9036098871081036	0.9680189605166717	0.9782145642453753	0.9935501727230893	0.9134863388443794	0.9906552832998295	0.966865215155545	0.9960569464533756	0.9662148140589227	0.9823401782742324	0.9828493407149956	0.9540615378827514	0.9906624272634316	0.9969654326547032	0.933937926093335	0.9470375249081185	0.9005277183060377	0.9955269848098403
Physostegia.virginiana	0.9036098871081036	0.0	0.9966544770278024	0.9968649785435323	0.9617550743081846	0.959738486646447	0.983519133264598	0.9543090471784635	0.9748332717626446	0.8824444375427536	0.9928413881735344	0.9860350619214194	0.9795469156868826	0.999252450708631	0.9995653630214614	0.9355762398687576	0.708198630795197	0.650965900717545	0.7128301633406964
Ruellia.brittoniana	0.9680189605166717	0.9966544770278024	0.0	0.6421068587235429	0.9914669915273231	0.6768994337184484	0.9877765440033432	0.7843304763201827	0.9848235404661253	0.6726568371855064	0.8785098150445928	0.9374981924327224	0.886504349289656	0.9780628346678045	0.9956255700819316	0.7551071150903992	0.98254621687337	0.9430897184386614	0.9986861501330498
Salvia.azurea	0.9782145642453753	0.9968649785435323	0.6421068587235429	0.0	0.9922097392774999	0.835359610070692	0.9908141250623043	0.8081137012090008	0.7147012169926525	0.6710262888987417	0.980149308380155	0.9413836026610591	0.929335980796639	0.9757146282731213	0.9967476513408666	0.784035254424923	0.9827474367916568	0.9421400206174242	0.9991447556183005
Salvia.ballotiflora	0.9935501727230893	0.9617550743081846	0.9914669915273231	0.9922097392774999	0.0	0.9104678372403324	0.9897414883555956	0.8726748832700084	0.9746147950167402	0.8111689318091676	0.9883575375196181	0.9729273927541933	0.9644619214679966	0.9968561464495785	0.9978643304608499	0.8949749198174193	0.986451957809815	0.9367060481581388	0.8963097887787831
Salvia.blepharophylla	0.9134863388443794	0.959738486646447	0.6768994337184484	0.835359610070692	0.9104678372403324	0.0	0.958274973198127	0.6278581724527934	0.9310887392280213	0.5794626104593743	0.8649258980838811	0.8976004360381844	0.7415615966678926	0.9645702447619161	0.9865303618829095	0.5288715388903042	0.9669460031987407	0.8830286135466014	0.9030099429307544
Salvia.chionophylla	0.9906552832998295	0.983519133264598	0.9877765440033432	0.9908141250623043	0.9897414883555956	0.958274973198127	0.0	0.9764431953333219	0.9900688542242734	0.9706492900673354	0.9941413079609578	0.9906573131915157	0.9803014452829973	0.9963292425088349	0.9970870931470555	0.9671706141058597	0.9903893419239321	0.9860106792823411	0.9824578491409255
Salvia.coccinea	0.966865215155545	0.9543090471784635	0.7843304763201827	0.8081137012090008	0.8726748832700084	0.6278581724527934	0.9764431953333219	0.0	0.9603287094531099	0.4936195048651808	0.9268453558509815	0.9046846687333399	0.8736584997702119	0.9744272518179986	0.9923839066386748	0.6901482175467882	0.9688801089109328	0.8957917149710103	0.8918463323918493
Salvia.darcyi	0.9960569464533756	0.9748332717626446	0.9848235404661253	0.7147012169926525	0.9746147950167402	0.9310887392280213	0.9900688542242734	0.9603287094531099	0.0	0.9360510936162726	0.9918247751609902	0.9898254406016661	0.9827020087779306	0.998031106426708	0.9985645401541015	0.9627706413120913	0.9906247132738106	0.9781066666160743	0.9322011486987294
Salvia.farinacea	0.9662148140589227	0.8824444375427536	0.6726568371855064	0.6710262888987417	0.8111689318091676	0.5794626104593743	0.9706492900673354	0.4936195048651808	0.9360510936162726	0.0	0.9335478165794865	0.8782899164104261	0.8571151386595175	0.9870791335726953	0.9930910277262855	0.48021529064973456	0.9477867697630025	0.7777385103655653	0.7233378177697719
Salvia.greggii	0.9823401782742324	0.9928413881735344	0.8785098150445928	0.980149308380155	0.9883575375196181	0.8649258980838811	0.9941413079609578	0.9268453558509815	0.9918247751609902	0.9335478165794865	0.0	0.9816639050702485	0.8765725211384083	0.993584599424586	0.9720322864957719	0.9324982552279647	0.9712296378664727	0.9242547691131815	0.9819315984847138
Salvia.leucantha	0.9828493407149956	0.9860350619214194	0.9374981924327224	0.9413836026610591	0.9729273927541933	0.8976004360381844	0.9906573131915157	0.9046846687333399	0.9898254406016661	0.8782899164104261	0.9816639050702485	0.0	0.9414255290345381	0.9917809681701176	0.9974072036165058	0.8914356691496356	0.9922244789952219	0.9641079807651777	0.9648540837258777
Salvia.microphylla	0.9540615378827514	0.9795469156868826	0.886504349289656	0.929335980796639	0.9644619214679966	0.7415615966678926	0.9803014452829973	0.8736584997702119	0.9827020087779306	0.8571151386595175	0.8765725211384083	0.9414255290345381	0.0	0.969858034281105	0.7335983871023706	0.7757424095880078	0.9855890554185478	0.9389449754887061	0.9500937287054372
Salvia.regla	0.9906624272634316	0.999252450708631	0.9780628346678045	0.9757146282731213	0.9968561464495785	0.9645702447619161	0.9963292425088349	0.9744272518179986	0.998031106426708	0.9870791335726953	0.993584599424586	0.9917809681701176	0.969858034281105	0.0	0.9988029842420689	0.9733036521710632	0.9975754141412857	0.9941430532003646	0.9988982752483949
Salvia.roemeriana	0.9969654326547032	0.9995653630214614	0.9956255700819316	0.9967476513408666	0.9978643304608499	0.9865303618829095	0.9970870931470555	0.9923839066386748	0.9985645401541015	0.9930910277262855	0.9720322864957719	0.9974072036165058	0.7335983871023706	0.9988029842420689	0.0	0.981207784526534	0.9986819630194793	0.9977939733142275	0.9996971340862234
Salvia.sinaloensis	0.933937926093335	0.9355762398687576	0.7551071150903992	0.784035254424923	0.8949749198174193	0.5288715388903042	0.9671706141058597	0.6901482175467882	0.9627706413120913	0.48021529064973456	0.9324982552279647	0.8914356691496356	0.7757424095880078	0.9733036521710632	0.981207784526534	0.0	0.9666799326624704	0.8473544501912024	0.8353853756566608
Scutellaria.suffrutescens	0.9470375249081185	0.708198630795197	0.98254621687337	0.9827474367916568	0.986451957809815	0.9669460031987407	0.9903893419239321	0.9688801089109328	0.9906247132738106	0.9477867697630025	0.9712296378664727	0.9922244789952219	0.9855890554185478	0.9975754141412857	0.9986819630194793	0.9666799326624704	0.0	0.8335659461350688	0.9683711539831665
Scutellaria.wrightii	0.9005277183060377	0.650965900717545	0.9430897184386614	0.9421400206174242	0.9367060481581388	0.8830286135466014	0.9860106792823411	0.8957917149710103	0.9781066666160743	0.7777385103655653	0.9242547691131815	0.9641079807651777	0.9389449754887061	0.9941430532003646	0.9977939733142275	0.8473544501912024	0.8335659461350688	0.0	0.8537145092453007
Stachys.coccinea	0.9955269848098403	0.7128301633406964	0.9986861501330498	0.9991447556183005	0.8963097887787831	0.9030099429307544	0.9824578491409255	0.8918463323918493	0.9322011486987294	0.7233378177697719	0.9819315984847138	0.9648540837258777	0.9500937287054372	0.9988982752483949	0.9996971340862234	0.8353853756566608	0.9683711539831665	0.8537145092453007	0.0
