	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	0.9885801709028498	0.9709907262384672	0.9720947322531059	0.9909814243707503	0.9886966660375812	0.98134650843585	0.9771195557298943	0.9853509772431196	0.9793178512511023	0.9909992731558762	0.986864816061201	0.9796909387672299	0.9878580319705059	0.9942609178721776	0.9793299215813184	0.9901254155722198	0.9939594027297964	0.9760307669197975
Physostegia.virginiana	0.9885801709028498	0.0	0.8891119575866766	0.9163153379555797	0.9648190048663069	0.9668800345765249	0.9406909955261522	0.9091337345473152	0.9399692260171059	0.925551541063378	0.9645855001957215	0.9619214017791532	0.9178947183664454	0.9748502562725693	0.9646098735262519	0.9127116972946747	0.9628931029738521	0.9602268999775698	0.4275848705878068
Ruellia.brittoniana	0.9709907262384672	0.8891119575866766	0.0	0.6712632586498932	0.8858723106279038	0.7846123856228098	0.8052426565600975	0.7594290443608154	0.841576216079736	0.8036714799914539	0.8964896347859304	0.8692390488114476	0.7069188191950382	0.8025811946928307	0.9260934842331722	0.8107281692424084	0.9190345533075513	0.913140959752281	0.7933215373145627
Salvia.azurea	0.9720947322531059	0.9163153379555797	0.6712632586498932	0.0	0.8298759686467672	0.7243345977139337	0.3846331161828481	0.4066198989854747	0.7249218810161102	0.6190427844306265	0.8324831612303646	0.6825689092782582	0.47793043813855485	0.8092227769207037	0.8666197471205546	0.6351833638157205	0.9272258151425427	0.9153988581178817	0.7324008416523564
Salvia.ballotiflora	0.9909814243707503	0.9648190048663069	0.8858723106279038	0.8298759686467672	0.0	0.9269664577097467	0.79706557328652	0.7530981629836365	0.8989391640059705	0.8603514966933159	0.9497680239544996	0.8931974175113808	0.8573119404145964	0.9380750160836573	0.9369534785157534	0.8523291954688778	0.9755340354202334	0.9701752662703362	0.8959960815513017
Salvia.blepharophylla	0.9886966660375812	0.9668800345765249	0.7846123856228098	0.7243345977139337	0.9269664577097467	0.0	0.7652302577663195	0.7661934893174602	0.856176816613771	0.712803554920892	0.8645068947465636	0.7711934579616644	0.8292254835155084	0.9338030296113228	0.9453178693450232	0.7351456135994312	0.9668230010387789	0.8888147581079585	0.9241143153151005
Salvia.chionophylla	0.98134650843585	0.9406909955261522	0.8052426565600975	0.3846331161828481	0.79706557328652	0.7652302577663195	0.0	0.19795742207770872	0.7509054169787679	0.593274510512932	0.8684122270235769	0.6119763979637689	0.6184761097214531	0.8534175437817751	0.8138308765300937	0.5034543149443316	0.9526211311286122	0.9421159275141602	0.7871160225202511
Salvia.coccinea	0.9771195557298943	0.9091337345473152	0.7594290443608154	0.4066198989854747	0.7530981629836365	0.7661934893174602	0.19795742207770872	0.0	0.6668828328944199	0.5378723883873963	0.8397730556422031	0.5912058003452172	0.5870625063887953	0.8485573406760519	0.7763843734694753	0.44607858832900993	0.9314018139506639	0.9190340285007359	0.678667168757389
Salvia.darcyi	0.9853509772431196	0.9399692260171059	0.841576216079736	0.7249218810161102	0.8989391640059705	0.856176816613771	0.7509054169787679	0.6668828328944199	0.0	0.6944998273181309	0.8625063709991976	0.7784118130908405	0.764433295334352	0.9251760209560226	0.9145259889256115	0.7775100904686365	0.9460029326698746	0.9319693537396431	0.8080459527999282
Salvia.farinacea	0.9793178512511023	0.925551541063378	0.8036714799914539	0.6190427844306265	0.8603514966933159	0.712803554920892	0.593274510512932	0.5378723883873963	0.6944998273181309	0.0	0.722621210556281	0.402336553387578	0.7113233324436621	0.9015057057114555	0.865439230873098	0.37915419310901255	0.9371209723264431	0.8430255369874212	0.8085925229477554
Salvia.greggii	0.9909992731558762	0.9645855001957215	0.8964896347859304	0.8324831612303646	0.9497680239544996	0.8645068947465636	0.8684122270235769	0.8397730556422031	0.8625063709991976	0.722621210556281	0.0	0.8134751597542962	0.6817275718732889	0.9477874537081373	0.8770698022388169	0.7705625628916183	0.9652832459383098	0.9101958693423152	0.9214214208613902
Salvia.leucantha	0.986864816061201	0.9619214017791532	0.8692390488114476	0.6825689092782582	0.8931974175113808	0.7711934579616644	0.6119763979637689	0.5912058003452172	0.7784118130908405	0.402336553387578	0.8134751597542962	0.0	0.7875108662045986	0.9228483504213804	0.9060442393460184	0.49633952252234903	0.9644180817128455	0.9104371061440388	0.8452794082161433
Salvia.microphylla	0.9796909387672299	0.9178947183664454	0.7069188191950382	0.47793043813855485	0.8573119404145964	0.8292254835155084	0.6184761097214531	0.5870625063887953	0.764433295334352	0.7113233324436621	0.6817275718732889	0.7875108662045986	0.0	0.8459087828498134	0.7609233589345817	0.7411340773291505	0.9382011974466397	0.9267153104883592	0.7901756624358931
Salvia.regla	0.9878580319705059	0.9748502562725693	0.8025811946928307	0.8092227769207037	0.9380750160836573	0.9338030296113228	0.8534175437817751	0.8485573406760519	0.9251760209560226	0.9015057057114555	0.9477874537081373	0.9228483504213804	0.8459087828498134	0.0	0.9628934618604978	0.9087065023326558	0.9773612839475282	0.9757422421918293	0.9233484683768007
Salvia.roemeriana	0.9942609178721776	0.9646098735262519	0.9260934842331722	0.8666197471205546	0.9369534785157534	0.9453178693450232	0.8138308765300937	0.7763843734694753	0.9145259889256115	0.865439230873098	0.8770698022388169	0.9060442393460184	0.7609233589345817	0.9628934618604978	0.0	0.7950955816251506	0.922963521445455	0.9505758430123407	0.9058294848819174
Salvia.sinaloensis	0.9793299215813184	0.9127116972946747	0.8107281692424084	0.6351833638157205	0.8523291954688778	0.7351456135994312	0.5034543149443316	0.44607858832900993	0.7775100904686365	0.37915419310901255	0.7705625628916183	0.49633952252234903	0.7411340773291505	0.9087065023326558	0.7950955816251506	0.0	0.8933351273079934	0.7997239609847051	0.7707698444003795
Scutellaria.suffrutescens	0.9901254155722198	0.9628931029738521	0.9190345533075513	0.9272258151425427	0.9755340354202334	0.9668230010387789	0.9526211311286122	0.9314018139506639	0.9460029326698746	0.9371209723264431	0.9652832459383098	0.9644180817128455	0.9382011974466397	0.9773612839475282	0.922963521445455	0.8933351273079934	0.0	0.8304967357805818	0.9234883585487818
Scutellaria.wrightii	0.9939594027297964	0.9602268999775698	0.913140959752281	0.9153988581178817	0.9701752662703362	0.8888147581079585	0.9421159275141602	0.9190340285007359	0.9319693537396431	0.8430255369874212	0.9101958693423152	0.9104371061440388	0.9267153104883592	0.9757422421918293	0.9505758430123407	0.7997239609847051	0.8304967357805818	0.0	0.9204010416167038
Stachys.coccinea	0.9760307669197975	0.4275848705878068	0.7933215373145627	0.7324008416523564	0.8959960815513017	0.9241143153151005	0.7871160225202511	0.678667168757389	0.8080459527999282	0.8085925229477554	0.9214214208613902	0.8452794082161433	0.7901756624358931	0.9233484683768007	0.9058294848819174	0.7707698444003795	0.9234883585487818	0.9204010416167038	0.0
