CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex,EdgeAnnotation
10664,11148,0,10664,0.9275,10664,4,NA
13749,24311,-14.016,13749,0.8939,13749,16,methanol (-H2O):CH2
12944,13369,0,12944,0.9214,12944,16,NA
13369,24311,-14.016,13369,0.9014,13369,16,methanol (-H2O):CH2
12944,13749,0,12944,0.917,12944,16,NA
13369,13749,0,13369,0.8934,13369,16,NA
12944,24311,-14.016,12944,0.9328,12944,16,methanol (-H2O):CH2
10437,12257,0.001,10437,0.8763,10437,17,NA
4812,5428,-14.018,4812,0.8877,4812,36,methanol (-H2O):CH2
4617,4825,0,4617,0.8469,4617,36,NA
4708,5390,-14.013,4708,0.8779,4708,36,methanol (-H2O):CH2
4708,5428,-14.016,4708,0.8818,4708,36,methanol (-H2O):CH2
4708,4812,0.002,4708,0.9587,4708,36,NA
4825,5767,0,4825,0.9519,4825,36,NA
4708,5767,2.018,4708,0.8392,4708,36,H2
4812,5390,-14.015,4812,0.8871,4812,36,methanol (-H2O):CH2
4812,5767,2.016,4812,0.8523,4812,36,H2
4617,5767,0,4617,0.8475,4617,36,NA
5390,5428,-0.003,5390,0.8766,5390,36,NA
1395,1429,0,1395,0.9735,1395,45,NA
2337,5134,46.005,2337,0.8866,2337,54,CH2O2
29676,29770,0,29676,0.9252,29676,102,NA
15256,23597,31.988,15256,0.7837,15256,106,O2
15232,15256,0.002,15232,0.9011,15232,106,NA
15232,23597,31.99,15232,0.7783,15232,106,O2
1808,1869,-0.001,1808,0.9507,1808,119,NA
2353,3497,0,2353,0.941,2353,119,NA
1283,1916,0,1283,0.9849,1283,119,NA
2353,3456,0.001,2353,0.9498,2353,119,NA
2201,3497,-0.002,2201,0.9635,2201,119,NA
1916,2201,-14.015,1916,0.9206,1916,119,methanol (-H2O):CH2
4785,21825,14.005,4785,0.9345,4785,119,tertiary amine:N
1808,1916,-0.001,1808,0.9633,1808,119,NA
3456,3497,-0.001,3456,0.9729,3456,119,NA
21825,22194,0.001,21825,0.9448,21825,119,NA
2201,2353,-0.002,2201,0.9551,2201,119,NA
2201,3456,-0.001,2201,0.9863,2201,119,NA
1869,1916,0,1869,0.9795,1869,119,NA
1283,1808,0.001,1283,0.9514,1283,119,NA
1283,1869,-0.001,1283,0.971,1283,119,NA
2038,7855,0,2038,0.9724,2038,184,NA
2085,7855,0,2085,0.9767,2085,184,NA
2038,2085,0,2038,0.9747,2038,184,NA
2038,8122,0,2038,0.969,2038,184,NA
2085,8122,0,2085,0.9741,2085,184,NA
1995,8122,-0.001,1995,0.9723,1995,184,NA
1995,7855,-0.001,1995,0.972,1995,184,NA
7855,8122,0,7855,0.972,7855,184,NA
1995,2085,0,1995,0.9744,1995,184,NA
1995,2038,0,1995,0.9638,1995,184,NA
7023,8457,0,7023,0.9262,7023,213,NA
7023,7497,-0.001,7023,0.9473,7023,213,NA
7497,8457,0.001,7497,0.9157,7497,213,NA
7497,8063,0.001,7497,0.8929,7497,213,NA
7023,8063,0,7023,0.8915,7023,213,NA
8063,8457,0,8063,0.9027,8063,213,NA
1311,1376,0,1311,0.9084,1311,228,NA
2929,3207,0,2929,0.7243,2929,291,NA
963,3259,0,963,0.9015,963,352,NA
2046,2048,-17.027,2046,0.9467,2046,363,adduct_rel_H_NH4 or NH3
1989,2094,-17.027,1989,0.9447,1989,363,adduct_rel_H_NH4 or NH3
1989,1992,-17.027,1989,0.9465,1989,363,adduct_rel_H_NH4 or NH3
1989,2048,-17.027,1989,0.9486,1989,363,adduct_rel_H_NH4 or NH3
2061,2094,-17.027,2061,0.9398,2061,363,adduct_rel_H_NH4 or NH3
1989,2095,0,1989,0.9952,1989,363,NA
2046,2094,-17.027,2046,0.9428,2046,363,adduct_rel_H_NH4 or NH3
2046,2061,0,2046,0.9914,2046,363,NA
1989,2046,0,1989,0.9938,1989,363,NA
2048,2095,17.027,2048,0.9454,2048,363,adduct_rel_H_NH4 or NH3
1992,2095,17.026,1992,0.946,1992,363,adduct_rel_H_NH4 or NH3
1992,2048,0,1992,0.9906,1992,363,NA
2048,2094,0,2048,0.9886,2048,363,NA
1992,2094,0,1992,0.9882,1992,363,NA
1989,2061,0,1989,0.9932,1989,363,NA
2048,2061,17.027,2048,0.9432,2048,363,adduct_rel_H_NH4 or NH3
2046,2095,0,2046,0.9939,2046,363,NA
2061,2095,0,2061,0.9955,2061,363,NA
1992,2061,17.026,1992,0.9442,1992,363,adduct_rel_H_NH4 or NH3
2094,2095,17.027,2094,0.9416,2094,363,adduct_rel_H_NH4 or NH3
1992,2046,17.026,1992,0.9464,1992,363,adduct_rel_H_NH4 or NH3
21072,21361,-0.001,21072,0.8502,21072,456,NA
18864,21361,-14.015,18864,0.8009,18864,456,methanol (-H2O):CH2
18864,19464,-14.015,18864,0.8128,18864,456,methanol (-H2O):CH2
18864,21072,-14.014,18864,0.7685,18864,456,methanol (-H2O):CH2
19464,21072,0,19464,0.7969,19464,456,NA
19464,21361,-0.001,19464,0.8527,19464,456,NA
21361,22022,18.011,21361,0.7618,21361,456,H2O
19464,22022,18.011,19464,0.7495,19464,456,H2O
18864,22022,3.996,18864,0.7885,18864,456,NA
2386,2516,-0.002,2386,0.6693,2386,507,NA
2097,2177,-0.001,2097,0.9413,2097,512,NA
3131,3365,0,3131,0.9862,3131,512,NA
2097,3251,15.995,2097,0.9496,2097,512,O
3131,3251,0.001,3131,0.9843,3131,512,NA
2097,3365,15.995,2097,0.9509,2097,512,O
3251,3365,-0.001,3251,0.9843,3251,512,NA
2097,3131,15.995,2097,0.9509,2097,512,O
14959,16964,-32.027,14959,0.7822,14959,531,CH4O
15148,16964,-14.017,15148,0.7825,15148,531,methanol (-H2O):CH2
14959,15148,-18.01,14959,0.8025,14959,531,H2O
23398,23628,0,23398,0.957,23398,563,NA
26078,30071,-0.001,26078,0.9218,26078,568,NA
2996,3192,-0.001,2996,0.9585,2996,688,NA
3192,3204,0.001,3192,0.9785,3192,688,NA
2996,3204,0,2996,0.965,2996,688,NA
32481,32658,0,32481,0.9926,32481,731,NA
7240,7566,0,7240,0.8748,7240,750,NA
2006,2076,-0.001,2006,0.9704,2006,934,NA
1982,2055,0.001,1982,0.8761,1982,934,NA
2006,2055,-0.001,2006,0.8994,2006,934,NA
1982,2076,0,1982,0.946,1982,934,NA
1982,2006,0.002,1982,0.96,1982,934,NA
2055,2076,0,2055,0.8862,2055,934,NA
8102,10432,-0.003,8102,0.6619,8102,956,NA
29710,30739,-30.011,29710,0.8462,29710,1019,CH2O
30056,30739,-28.032,30056,0.8773,30056,1019,C2H4
29710,30056,-1.98,29710,0.8272,29710,1019,NA
5361,5915,2.016,5361,0.885,5361,1166,H2
5569,5915,0,5569,0.9006,5569,1166,NA
5915,6135,-0.002,5915,0.9104,5915,1166,NA
5915,6171,0,5915,0.9165,5915,1166,NA
5569,6171,0,5569,0.9677,5569,1166,NA
5361,6135,2.013,5361,0.9164,5361,1166,H2
5569,6135,-0.002,5569,0.9353,5569,1166,NA
5361,6171,2.016,5361,0.9396,5361,1166,H2
6135,6171,0.002,6135,0.9538,6135,1166,NA
5361,5569,2.016,5361,0.9167,5361,1166,H2
12304,12881,-0.098,12304,0.8532,12304,1253,NA
3629,4319,0,3629,0.8345,3629,1454,NA
3397,3866,0,3397,0.8829,3397,1454,NA
3629,4574,0,3629,0.7971,3629,1454,NA
3397,3629,0,3397,0.9239,3397,1454,NA
3866,4574,0,3866,0.7947,3866,1454,NA
3397,4574,0,3397,0.7985,3397,1454,NA
3866,4319,0,3866,0.8768,3866,1454,NA
3629,3866,0,3629,0.8784,3629,1454,NA
3397,4319,0,3397,0.8487,3397,1454,NA
4319,4574,0,4319,0.8078,4319,1454,NA
14605,14954,-0.001,14605,0.7751,14605,1571,NA
2230,2264,0,2230,0.9598,2230,1663,NA
2264,2766,15.996,2264,0.964,2264,1663,O
2175,2766,15.995,2175,0.9562,2175,1663,O
2175,2230,0,2175,0.9483,2175,1663,NA
2264,2833,15.995,2264,0.9709,2264,1663,O
2766,2833,-0.001,2766,0.9872,2766,1663,NA
2175,2264,-0.001,2175,0.9625,2175,1663,NA
2230,2766,15.995,2230,0.963,2230,1663,O
2230,2833,15.995,2230,0.9698,2230,1663,O
2175,2833,15.995,2175,0.96,2175,1663,O
1990,2040,-0.001,1990,0.9631,1990,1775,NA
1990,2075,0,1990,0.9698,1990,1775,NA
2040,2075,0,2040,0.9839,2040,1775,NA
823,967,0,823,0.9638,823,2023,NA
29780,29960,0,29780,0.8194,29780,2082,NA
29780,30750,15.994,29780,0.6704,29780,2082,O
29960,30168,0,29960,0.7973,29960,2082,NA
29960,30750,15.995,29960,0.6741,29960,2082,O
29780,30168,-0.001,29780,0.8284,29780,2082,NA
30168,30750,15.995,30168,0.6684,30168,2082,O
10453,12319,0,10453,0.9412,10453,2105,NA
7281,7634,-0.001,7281,0.9451,7281,2156,NA
2141,2281,-0.002,2141,0.7436,2141,2267,NA
2243,2281,-0.001,2243,0.7609,2243,2267,NA
2141,2243,-0.001,2141,0.8261,2141,2267,NA
3843,3935,0,3843,0.682,3843,2310,NA
3613,3843,0,3613,0.7974,3613,2310,NA
3613,3935,0,3613,0.7148,3613,2310,NA
1986,2083,0,1986,0.9892,1986,2475,NA
759,973,0,759,0.8299,759,2828,NA
508,658,0,508,0.8788,508,2837,NA
451,508,14.015,451,0.8953,451,2837,methanol (-H2O):CH2
446,986,0,446,0.728,446,2851,NA
6649,7288,0,6649,0.6566,6649,3239,NA
2547,2571,-0.002,2547,0.9196,2547,3243,NA
2442,2547,0.001,2442,0.9301,2442,3243,NA
2445,2547,-0.001,2445,0.7939,2445,3243,NA
2442,2445,0.002,2442,0.7986,2442,3243,NA
2445,2571,-0.003,2445,0.7823,2445,3243,NA
2442,2571,0,2442,0.9341,2442,3243,NA
304,569,0,304,0.9267,304,3326,NA
569,665,0.001,569,0.9781,569,3326,NA
304,665,0.001,304,0.9642,304,3326,NA
679,928,-72.021,679,0.8083,679,3478,CH2N3O:C3H492
3119,3193,-0.001,3119,0.8575,3119,4101,NA
2255,2272,-0.001,2255,0.8795,2255,4246,NA
622,760,-14.016,622,0.9035,622,4260,methanol (-H2O):CH2
789,991,0,789,0.9601,789,4459,NA
74,122,0,74,0.8743,74,4901,NA
11091,22023,0,11091,0.9281,11091,4911,NA
2742,2863,0,2742,0.778,2742,5322,NA
11779,11970,-0.002,11779,0.6908,11779,5529,NA
601,608,15.995,601,0.7925,601,5573,O
25701,28002,18.011,25701,0.6231,25701,5678,H2O
520,520,0,1,1,1,-1,NA
1002,1002,0,1,1,1,-1,NA
1087,1087,0,1,1,1,-1,NA
1392,1392,0,1,1,1,-1,NA
2096,2096,0,1,1,1,-1,NA
1683,1683,0,1,1,1,-1,NA
25528,25528,0,1,1,1,-1,NA
699,699,0,1,1,1,-1,NA
3300,3300,0,1,1,1,-1,NA
97,97,0,1,1,1,-1,NA
3832,3832,0,1,1,1,-1,NA
1389,1389,0,1,1,1,-1,NA
623,623,0,1,1,1,-1,NA
2481,2481,0,1,1,1,-1,NA
2521,2521,0,1,1,1,-1,NA
1448,1448,0,1,1,1,-1,NA
767,767,0,1,1,1,-1,NA
1097,1097,0,1,1,1,-1,NA
9601,9601,0,1,1,1,-1,NA
1301,1301,0,1,1,1,-1,NA
4145,4145,0,1,1,1,-1,NA
976,976,0,1,1,1,-1,NA
1523,1523,0,1,1,1,-1,NA
3560,3560,0,1,1,1,-1,NA
131,131,0,1,1,1,-1,NA
4545,4545,0,1,1,1,-1,NA
5630,5630,0,1,1,1,-1,NA
3666,3666,0,1,1,1,-1,NA
1864,1864,0,1,1,1,-1,NA
2139,2139,0,1,1,1,-1,NA
2870,2870,0,1,1,1,-1,NA
2662,2662,0,1,1,1,-1,NA
10657,10657,0,1,1,1,-1,NA
334,334,0,1,1,1,-1,NA
26785,26785,0,1,1,1,-1,NA
1112,1112,0,1,1,1,-1,NA
566,566,0,1,1,1,-1,NA
6636,6636,0,1,1,1,-1,NA
10063,10063,0,1,1,1,-1,NA
4345,4345,0,1,1,1,-1,NA
3138,3138,0,1,1,1,-1,NA
4561,4561,0,1,1,1,-1,NA
807,807,0,1,1,1,-1,NA
1999,1999,0,1,1,1,-1,NA
14039,14039,0,1,1,1,-1,NA
4665,4665,0,1,1,1,-1,NA
1932,1932,0,1,1,1,-1,NA
1705,1705,0,1,1,1,-1,NA
9123,9123,0,1,1,1,-1,NA
729,729,0,1,1,1,-1,NA
220,220,0,1,1,1,-1,NA
18543,18543,0,1,1,1,-1,NA
600,600,0,1,1,1,-1,NA
1991,1991,0,1,1,1,-1,NA
24171,24171,0,1,1,1,-1,NA
2575,2575,0,1,1,1,-1,NA
21002,21002,0,1,1,1,-1,NA
13497,13497,0,1,1,1,-1,NA
24218,24218,0,1,1,1,-1,NA
25445,25445,0,1,1,1,-1,NA
8199,8199,0,1,1,1,-1,NA
4951,4951,0,1,1,1,-1,NA
3641,3641,0,1,1,1,-1,NA
11777,11777,0,1,1,1,-1,NA
2580,2580,0,1,1,1,-1,NA
1231,1231,0,1,1,1,-1,NA
3264,3264,0,1,1,1,-1,NA
3380,3380,0,1,1,1,-1,NA
4295,4295,0,1,1,1,-1,NA
27893,27893,0,1,1,1,-1,NA
217,217,0,1,1,1,-1,NA
27312,27312,0,1,1,1,-1,NA
619,619,0,1,1,1,-1,NA
27380,27380,0,1,1,1,-1,NA
1315,1315,0,1,1,1,-1,NA
28886,28886,0,1,1,1,-1,NA
22322,22322,0,1,1,1,-1,NA
3886,3886,0,1,1,1,-1,NA
2983,2983,0,1,1,1,-1,NA
28234,28234,0,1,1,1,-1,NA
20585,20585,0,1,1,1,-1,NA
27801,27801,0,1,1,1,-1,NA
19604,19604,0,1,1,1,-1,NA
17570,17570,0,1,1,1,-1,NA
5632,5632,0,1,1,1,-1,NA
18796,18796,0,1,1,1,-1,NA
6642,6642,0,1,1,1,-1,NA
25787,25787,0,1,1,1,-1,NA
100,100,0,1,1,1,-1,NA
1890,1890,0,1,1,1,-1,NA
4458,4458,0,1,1,1,-1,NA
27969,27969,0,1,1,1,-1,NA
18394,18394,0,1,1,1,-1,NA
30204,30204,0,1,1,1,-1,NA
10059,10059,0,1,1,1,-1,NA
28632,28632,0,1,1,1,-1,NA
24517,24517,0,1,1,1,-1,NA
14792,14792,0,1,1,1,-1,NA
15382,15382,0,1,1,1,-1,NA
18849,18849,0,1,1,1,-1,NA
2589,2589,0,1,1,1,-1,NA
5245,5245,0,1,1,1,-1,NA
11986,11986,0,1,1,1,-1,NA
25558,25558,0,1,1,1,-1,NA
30897,30897,0,1,1,1,-1,NA
25104,25104,0,1,1,1,-1,NA
29102,29102,0,1,1,1,-1,NA
28870,28870,0,1,1,1,-1,NA
26223,26223,0,1,1,1,-1,NA
24800,24800,0,1,1,1,-1,NA
22622,22622,0,1,1,1,-1,NA
3260,3260,0,1,1,1,-1,NA
21492,21492,0,1,1,1,-1,NA
20138,20138,0,1,1,1,-1,NA
19520,19520,0,1,1,1,-1,NA
6263,6263,0,1,1,1,-1,NA
9064,9064,0,1,1,1,-1,NA
27738,27738,0,1,1,1,-1,NA
28070,28070,0,1,1,1,-1,NA
27225,27225,0,1,1,1,-1,NA
28648,28648,0,1,1,1,-1,NA
6659,6659,0,1,1,1,-1,NA
17674,17674,0,1,1,1,-1,NA
18296,18296,0,1,1,1,-1,NA
27305,27305,0,1,1,1,-1,NA
19829,19829,0,1,1,1,-1,NA
2768,2768,0,1,1,1,-1,NA
4329,4329,0,1,1,1,-1,NA
26028,26028,0,1,1,1,-1,NA
9877,9877,0,1,1,1,-1,NA
21773,21773,0,1,1,1,-1,NA
26658,26658,0,1,1,1,-1,NA
24521,24521,0,1,1,1,-1,NA
9670,9670,0,1,1,1,-1,NA
6392,6392,0,1,1,1,-1,NA
26220,26220,0,1,1,1,-1,NA
26156,26156,0,1,1,1,-1,NA
23381,23381,0,1,1,1,-1,NA
25448,25448,0,1,1,1,-1,NA
10968,10968,0,1,1,1,-1,NA
6651,6651,0,1,1,1,-1,NA
7140,7140,0,1,1,1,-1,NA
29351,29351,0,1,1,1,-1,NA
26490,26490,0,1,1,1,-1,NA
18121,18121,0,1,1,1,-1,NA
13617,13617,0,1,1,1,-1,NA
20072,20072,0,1,1,1,-1,NA
30149,30149,0,1,1,1,-1,NA
20548,20548,0,1,1,1,-1,NA
12915,12915,0,1,1,1,-1,NA
18659,18659,0,1,1,1,-1,NA
24308,24308,0,1,1,1,-1,NA
9878,9878,0,1,1,1,-1,NA
20857,20857,0,1,1,1,-1,NA
8204,8204,0,1,1,1,-1,NA
11392,11392,0,1,1,1,-1,NA
12403,12403,0,1,1,1,-1,NA
15600,15600,0,1,1,1,-1,NA
4370,4370,0,1,1,1,-1,NA
7020,7020,0,1,1,1,-1,NA
12887,12887,0,1,1,1,-1,NA
24085,24085,0,1,1,1,-1,NA
18151,18151,0,1,1,1,-1,NA
23058,23058,0,1,1,1,-1,NA
5770,5770,0,1,1,1,-1,NA
11260,11260,0,1,1,1,-1,NA
4904,4904,0,1,1,1,-1,NA
4706,4706,0,1,1,1,-1,NA
12015,12015,0,1,1,1,-1,NA
30786,30786,0,1,1,1,-1,NA
10486,10486,0,1,1,1,-1,NA
15770,15770,0,1,1,1,-1,NA
20609,20609,0,1,1,1,-1,NA
5317,5317,0,1,1,1,-1,NA
6288,6288,0,1,1,1,-1,NA
11604,11604,0,1,1,1,-1,NA
12890,12890,0,1,1,1,-1,NA
20797,20797,0,1,1,1,-1,NA
5475,5475,0,1,1,1,-1,NA
15053,15053,0,1,1,1,-1,NA
8728,8728,0,1,1,1,-1,NA
23156,23156,0,1,1,1,-1,NA
10160,10160,0,1,1,1,-1,NA
13975,13975,0,1,1,1,-1,NA
21857,21857,0,1,1,1,-1,NA
6436,6436,0,1,1,1,-1,NA
6991,6991,0,1,1,1,-1,NA
29897,29897,0,1,1,1,-1,NA
24574,24574,0,1,1,1,-1,NA
6525,6525,0,1,1,1,-1,NA
5659,5659,0,1,1,1,-1,NA
5331,5331,0,1,1,1,-1,NA
15304,15304,0,1,1,1,-1,NA
15720,15720,0,1,1,1,-1,NA
23882,23882,0,1,1,1,-1,NA
9815,9815,0,1,1,1,-1,NA
8515,8515,0,1,1,1,-1,NA
24756,24756,0,1,1,1,-1,NA
8870,8870,0,1,1,1,-1,NA
22680,22680,0,1,1,1,-1,NA
19241,19241,0,1,1,1,-1,NA
11131,11131,0,1,1,1,-1,NA
12194,12194,0,1,1,1,-1,NA
22119,22119,0,1,1,1,-1,NA
24220,24220,0,1,1,1,-1,NA
9657,9657,0,1,1,1,-1,NA
13936,13936,0,1,1,1,-1,NA
20955,20955,0,1,1,1,-1,NA
20656,20656,0,1,1,1,-1,NA
9330,9330,0,1,1,1,-1,NA
26516,26516,0,1,1,1,-1,NA
13851,13851,0,1,1,1,-1,NA
15029,15029,0,1,1,1,-1,NA
13640,13640,0,1,1,1,-1,NA
5075,5075,0,1,1,1,-1,NA
11965,11965,0,1,1,1,-1,NA
16810,16810,0,1,1,1,-1,NA
15254,15254,0,1,1,1,-1,NA
27394,27394,0,1,1,1,-1,NA
19013,19013,0,1,1,1,-1,NA
9840,9840,0,1,1,1,-1,NA
25984,25984,0,1,1,1,-1,NA
5540,5540,0,1,1,1,-1,NA
13036,13036,0,1,1,1,-1,NA
12413,12413,0,1,1,1,-1,NA
18118,18118,0,1,1,1,-1,NA
30214,30214,0,1,1,1,-1,NA
17968,17968,0,1,1,1,-1,NA
30201,30201,0,1,1,1,-1,NA
22477,22477,0,1,1,1,-1,NA
17757,17757,0,1,1,1,-1,NA
14385,14385,0,1,1,1,-1,NA
10152,10152,0,1,1,1,-1,NA
4870,4870,0,1,1,1,-1,NA
26304,26304,0,1,1,1,-1,NA
13070,13070,0,1,1,1,-1,NA
10297,10297,0,1,1,1,-1,NA
25821,25821,0,1,1,1,-1,NA
11591,11591,0,1,1,1,-1,NA
25385,25385,0,1,1,1,-1,NA
25544,25544,0,1,1,1,-1,NA
6138,6138,0,1,1,1,-1,NA
27322,27322,0,1,1,1,-1,NA
12178,12178,0,1,1,1,-1,NA
25208,25208,0,1,1,1,-1,NA
8232,8232,0,1,1,1,-1,NA
10651,10651,0,1,1,1,-1,NA
17114,17114,0,1,1,1,-1,NA
12216,12216,0,1,1,1,-1,NA
14036,14036,0,1,1,1,-1,NA
15043,15043,0,1,1,1,-1,NA
19895,19895,0,1,1,1,-1,NA
14037,14037,0,1,1,1,-1,NA
27658,27658,0,1,1,1,-1,NA
4786,4786,0,1,1,1,-1,NA
18933,18933,0,1,1,1,-1,NA
9203,9203,0,1,1,1,-1,NA
8188,8188,0,1,1,1,-1,NA
5287,5287,0,1,1,1,-1,NA
19137,19137,0,1,1,1,-1,NA
17700,17700,0,1,1,1,-1,NA
8978,8978,0,1,1,1,-1,NA
13183,13183,0,1,1,1,-1,NA
31502,31502,0,1,1,1,-1,NA
8420,8420,0,1,1,1,-1,NA
11753,11753,0,1,1,1,-1,NA
31448,31448,0,1,1,1,-1,NA
6574,6574,0,1,1,1,-1,NA
5370,5370,0,1,1,1,-1,NA
31276,31276,0,1,1,1,-1,NA
32068,32068,0,1,1,1,-1,NA
11947,11947,0,1,1,1,-1,NA
9318,9318,0,1,1,1,-1,NA
31238,31238,0,1,1,1,-1,NA
8560,8560,0,1,1,1,-1,NA
18948,18948,0,1,1,1,-1,NA
28501,28501,0,1,1,1,-1,NA
6839,6839,0,1,1,1,-1,NA
19714,19714,0,1,1,1,-1,NA
28233,28233,0,1,1,1,-1,NA
10179,10179,0,1,1,1,-1,NA
4557,4557,0,1,1,1,-1,NA
22218,22218,0,1,1,1,-1,NA
8138,8138,0,1,1,1,-1,NA
29128,29128,0,1,1,1,-1,NA
