row.ID,row m/z,row retention time,smiles,NPC.pathway,NPC.superclass,NPC.class,ClassyFire.most.specific.class
9,401.1589611,0.04301667,CC1CC(=O)C2(C(C13CC(OC3=O)C4=COC=C4)CCC(C25CO5)O)COC(=O)C,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids,Colensane and clerodane diterpenoids
35,231.9698015,0.08296666,NA,Amino acids and Peptides,Small peptides,Aminoacids,Sulfenyl compounds
48,153.1270912,0.0919,CC1CCC(=C(C)C)CC1=O,Terpenoids,Monoterpenoids,Menthane monoterpenoids,Bicyclic monoterpenoids
52,163.0605102,0.09960476,CCCS#CSCCC,Fatty acids,Fatty acyls,Hydrocarbons,Dialkylthioethers
53,189.9925579,0.10701945,CNC(=O)CS(=O)(=O)C,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
69,163.0967638,0.13902083,C(CCO)CC(CC(=O)O)O,Fatty acids,Fatty Acids and Conjugates,Dicarboxylic acids,Fatty acids and conjugates
70,341.1378219,0.14087223,C=C1CC23COC(=O)C2=CCCC3CC14CC(OC4=O)C5=COC=C5,Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids,Pyranones and derivatives
74,134.9586241,0.14846666,C(#N)C(=O)OC#N,Alkaloids,Pseudoalkaloids,Pyridine alkaloids,Pyrimidines and pyrimidine derivatives
97,148.0391402,0.19342221,C1=CC=C2C(=C1)C(=O)NC2=O,Alkaloids,Tryptophan alkaloids,Isoindole alkaloids,Benzenoids
100,329.1739637,0.19710557,CC(=C)C1=CC2=C(C(=C1O)O)C34CCCC(C3CC2OC4=O)(C)C,Alkaloids,Pseudoalkaloids,Purine alkaloids,Alpha amino acids and derivatives
102,301.1795231,0.1971889,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC#C,Terpenoids,Sesquiterpenoids,Irregular monoterpenoids,Benzenoids
106,173.9610465,0.20211191,NA,Amino acids and Peptides,Small peptides,Aminoacids,Organic phosphoric acids and derivatives
122,134.9586493,0.22407222,C(#N)C(=O)OC#N,Alkaloids,Pseudoalkaloids,Pyridine alkaloids,Pyrimidines and pyrimidine derivatives
126,163.0603143,0.23625833,CCSCCCS(=O)CC,Fatty acids,Fatty acyls,Fatty alcohols,Sulfoxides
131,188.0340208,0.24939771,C1=CC=C2C(=C1)C(=O)N(C2=O)CC(=O)O,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,Alpha amino acids and derivatives
133,132.9582888,0.25281668,CP(=O)P=O,Fatty acids,Fatty acyls,Halogenated hydrocarbons,Organophosphorus compounds
141,153.1271774,0.26606527,CC1(C2CCC1(C(=O)C2)C)C,Terpenoids,Monoterpenoids,Fenchane monoterpenoids,Bicyclic monoterpenoids
155,329.1740963,0.2884,CC(=C)C1=CC2=C(C(=C1O)O)C34CCCC(C3CC2OC4=O)(C)C,Terpenoids,Diterpenoids,Abietane diterpenoids,Tetralins
156,153.0545655,0.28951666,COC1=C(C=CC(=C1)C=O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Simple phenolic acids,Methoxyphenols
157,147.0645126,0.29083332,C(C(C(C(C(CO)O)O)O)O)O,Carbohydrates,Saccharides,Monosaccharides,Isosorbides
163,146.9963198,0.29548335,NA,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids and derivatives
169,165.07502,0.30206296,C(C(C(C(C(CO)O)O)O)O)O,Carbohydrates,Saccharides,Monosaccharides,Monosaccharides
171,178.9993301,0.31228334,CCCP(=O)(O)OP,Fatty acids,Fatty acyls,Halogenated hydrocarbons,Organic phosphonic acids
