SppID,Species,Pollinator,Species2,Salvia
AniQWr_1,AniQWr_1,BIRD,Anisacanthus quadrifidus,NO
AniQWr_2,AniQWr_1,BIRD,Anisacanthus quadrifidus,NO
AniQWr_3,AniQWr_1,BIRD,Anisacanthus quadrifidus,NO
AniQWr_4,AniQWr_1,BIRD,Anisacanthus quadrifidus,NO
AniQWr_5,AniQWr_1,BIRD,Anisacanthus quadrifidus,NO
AniQWr_6,AniQWr_1,BIRD,Anisacanthus quadrifidus,NO
AniQWr_7,AniQWr_1,BIRD,Anisacanthus quadrifidus,NO
AniQWr_8,AniQWr_1,BIRD,Anisacanthus quadrifidus,NO
PhysVir_1,PhysVir_3,BEE,Physostegia virginiana,NO
PhysVir_2,PhysVir_3,BEE,Physostegia virginiana,NO
PhysVir_3,PhysVir_3,BEE,Physostegia virginiana,NO
PhysVir_4,PhysVir_3,BEE,Physostegia virginiana,NO
PhysVir_5,PhysVir_3,BEE,Physostegia virginiana,NO
PhysVir_6,PhysVir_3,BEE,Physostegia virginiana,NO
PhysVir_7,PhysVir_3,BEE,Physostegia virginiana,NO
RueBrit_1,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_19,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_2,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_3,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_4,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_5,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_6,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_7,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_8,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_FM1,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_FM2,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_FM3,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_FM4,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_FM7,RueBrit_4,BEE,Ruellia brittoniana,NO
RueBrit_FM8,RueBrit_4,BEE,Ruellia brittoniana,NO
SalAzu_1,SalAzu_5,BEE,Salvia azurea,Salvia
SalAzu_10,SalAzu_5,BEE,Salvia azurea,Salvia
SalAzu_11,SalAzu_5,BEE,Salvia azurea,Salvia
SalAzu_12,SalAzu_5,BEE,Salvia azurea,Salvia
SalAzu_2,SalAzu_5,BEE,Salvia azurea,Salvia
SalBall_1,SalBall_6,BEE,Salvia ballotiflora,Salvia
SalBall_2,SalBall_6,BEE,Salvia ballotiflora,Salvia
SalBall_3,SalBall_6,BEE,Salvia ballotiflora,Salvia
SalBall_4,SalBall_6,BEE,Salvia ballotiflora,Salvia
SalBall_5,SalBall_6,BEE,Salvia ballotiflora,Salvia
SalBle_1,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_10,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_20,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_21,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_22,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_23,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_24,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_5,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_SB1,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_SBW5,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalBle_SBW6,SalBle_7,BIRD,Salvia blepharophylla,Salvia
SalChio_1,SalChio_8,BEE,Salvia chionophylla,Salvia
SalChio_11,SalChio_8,BEE,Salvia chionophylla,Salvia
SalChio_2,SalChio_8,BEE,Salvia chionophylla,Salvia
SalChio_3,SalChio_8,BEE,Salvia chionophylla,Salvia
SalChio_4,SalChio_8,BEE,Salvia chionophylla,Salvia
SalChio_5,SalChio_8,BEE,Salvia chionophylla,Salvia
SalChio_6,SalChio_8,BEE,Salvia chionophylla,Salvia
SalChio_7,SalChio_8,BEE,Salvia chionophylla,Salvia
SalChio_8,SalChio_8,BEE,Salvia chionophylla,Salvia
SalCoc_1,SalCoc_9,BIRD,Salvia coccinea,Salvia
SalCoc_10,SalCoc_9,BIRD,Salvia coccinea,Salvia
SalCoc_11,SalCoc_9,BIRD,Salvia coccinea,Salvia
SalCoc_2,SalCoc_9,BIRD,Salvia coccinea,Salvia
SalCoc_3,SalCoc_9,BIRD,Salvia coccinea,Salvia
SalCoc_4,SalCoc_9,BIRD,Salvia coccinea,Salvia
SalCoc_5,SalCoc_9,BIRD,Salvia coccinea,Salvia
SalCoc_6,SalCoc_9,BIRD,Salvia coccinea,Salvia
SalDar_1,SalDar_10,BIRD,Salvia darcyi,Salvia
