"","Row.Names","NMDS1","NMDS2","Species","Pollinator","species2","Salvia"
"SalAzu_10","SalAzu_10",-0.211551262100856,0.0271846599209692,"SalAzu_5","BEE","Salvia azurea","SALVIA"
"SalAzu_11","SalAzu_11",-0.308875436660804,-0.0113968613820396,"SalAzu_5","BEE","Salvia azurea","SALVIA"
"SalAzu_12","SalAzu_12",-0.306123765955899,-0.0372762755621466,"SalAzu_5","BEE","Salvia azurea","SALVIA"
"SalBall_1","SalBall_1",-0.0745126009184405,-0.268769477377162,"SalBall_6","BEE","Salvia ballotiflora","SALVIA"
"SalBall_2","SalBall_2",-0.205065313252352,-0.102641534256092,"SalBall_6","BEE","Salvia ballotiflora","SALVIA"
"SalBall_3","SalBall_3",-0.0697240272334225,-0.247822982664035,"SalBall_6","BEE","Salvia ballotiflora","SALVIA"
"SalBall_4","SalBall_4",-0.268911987497802,-0.115602121284172,"SalBall_6","BEE","Salvia ballotiflora","SALVIA"
"SalBall_5","SalBall_5",0.0825287560843123,-0.376985218356542,"SalBall_6","BEE","Salvia ballotiflora","SALVIA"
"SalBle_2","SalBle_2",-0.13212806122199,-0.489569272112454,"SalBle_7","BIRD","Salvia blepharophylla","SALVIA"
"SalBle_20","SalBle_20",0.301760078159484,0.130620688698722,"SalBle_7","BIRD","Salvia blepharophylla","SALVIA"
"SalBle_22","SalBle_22",-0.173602326973415,0.226689724286676,"SalBle_7","BIRD","Salvia blepharophylla","SALVIA"
"SalBle_23","SalBle_23",0.0457807861338195,0.122487414831661,"SalBle_7","BIRD","Salvia blepharophylla","SALVIA"
"SalBle_5","SalBle_5",0.0829813289491969,-0.314786214726722,"SalBle_7","BIRD","Salvia blepharophylla","SALVIA"
"SalBle_SB1","SalBle_SB1",0.137849057078989,-0.40900968482177,"SalBle_7","BIRD","Salvia blepharophylla","SALVIA"
"SalBle_SBW5","SalBle_SBW5",0.0244525066820753,0.0749857352562734,"SalBle_7","BIRD","Salvia blepharophylla","SALVIA"
"SalBle_SBW6","SalBle_SBW6",0.119556992552778,-0.140971255875687,"SalBle_7","BIRD","Salvia blepharophylla","SALVIA"
"SalChio_1","SalChio_1",-0.333519380856926,-0.0590088392988306,"SalChio_8","BEE","Salvia chionophylla","SALVIA"
"SalChio_6","SalChio_6",-0.449068424984007,-0.1791228899573,"SalChio_8","BEE","Salvia chionophylla","SALVIA"
"SalChio_8","SalChio_8",-0.438260622326632,-0.257731081448821,"SalChio_8","BEE","Salvia chionophylla","SALVIA"
"SalCoc_1","SalCoc_1",-0.151362647353774,0.195295050742571,"SalCoc_9","BIRD","Salvia coccinea","SALVIA"
