,Row.Names,NMDS1,NMDS2,Pollinator,species2,species3,Salvia,species4
Salvia.azurea,Salvia.azurea,-0.046210865,0.002515592,Bee,Salvia azurea,Salvia.azurea,YES,Salvia_azurea
Salvia.ballotiflora,Salvia.ballotiflora,-0.255391981,-0.375989058,Bee,Salvia ballotiflora,Salvia.ballotiflora,YES,Salvia_ballotiflora
Salvia.blepharophylla,Salvia.blepharophylla,-0.099130834,0.3157818,Bird,Salvia blepharophylla,Salvia.blepharophylla,YES,Salvia_blepharophylla
Salvia.chionophylla,Salvia.chionophylla,-0.023538463,-0.019362851,Bee,Salvia chionophylla,Salvia.chionophylla,YES,Salvia_chionophylla
Salvia.coccinea,Salvia.coccinea,-0.001173166,-0.057128044,Bird,Salvia coccinea,Salvia.coccinea,YES,Salvia_coccinea
Salvia.darcyi,Salvia.darcyi,0.022799211,-0.208273744,Bird,Salvia darcyi,Salvia.darcyi,YES,Salvia_darcyi
Salvia.farinacea,Salvia.farinacea,0.0292331,0.112251405,Bee,Salvia farinacea,Salvia.farinacea,YES,Salvia_farinacea
Salvia.greggii,Salvia.greggii,0.363202803,0.214751955,Bird,Salvia greggii,Salvia.greggii,YES,Salvia_greggii
Salvia.leucantha,Salvia.leucantha,-0.073785501,0.112082765,Bee,Salvia leucantha,Salvia.leucantha,YES,Salvia_leucantha
Salvia.microphylla,Salvia.microphylla,0.170875345,-0.023419435,Bird,Salvia microphylla,Salvia.microphylla,YES,Salvia_microphylla
Salvia.regla,Salvia.regla,-0.519361509,0.066803953,Bird,Salvia regla,Salvia.regla,YES,Salvia_regla
Salvia.roemeriana,Salvia.roemeriana,0.386791038,-0.258851358,Bird,Salvia roemeriana,Salvia.roemeriana,YES,Salvia_roemeriana
Salvia.sinaloensis,Salvia.sinaloensis,0.045690823,0.118837021,Bee,Salvia sinaloensis,Salvia.sinaloensis,YES,Salvia_sinaloensis
