"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"AniQWr_1","AniQWr_1",-0.480971456248543,0.0245589011140336,"AniQWr_1","BIRD",NA,"Anisacanthus quadrifidus","NO"
"AniQWr_2","AniQWr_2",-0.488009565801648,-0.0230156326677207,"AniQWr_1","BIRD",NA,"Anisacanthus quadrifidus","NO"
"AniQWr_3","AniQWr_3",-0.589385604450458,0.0273711373098409,"AniQWr_1","BIRD",NA,"Anisacanthus quadrifidus","NO"
"AniQWr_4","AniQWr_4",-0.641915607746248,0.131772465892117,"AniQWr_1","BIRD",NA,"Anisacanthus quadrifidus","NO"
"AniQWr_5","AniQWr_5",-0.500223463954436,0.118732359618436,"AniQWr_1","BIRD",NA,"Anisacanthus quadrifidus","NO"
"AniQWr_6","AniQWr_6",-0.515165725358645,0.080737701471234,"AniQWr_1","BIRD",NA,"Anisacanthus quadrifidus","NO"
"AniQWr_7","AniQWr_7",-0.537482099980364,0.149498062037368,"AniQWr_1","BIRD",NA,"Anisacanthus quadrifidus","NO"
"AniQWr_8","AniQWr_8",-0.524391924017896,0.0812573096815403,"AniQWr_1","BIRD",NA,"Anisacanthus quadrifidus","NO"
"PhysVir_1","PhysVir_1",-0.0728917293925533,0.223397269966915,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_2","PhysVir_2",-0.0679924243766102,0.211036331319628,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_3","PhysVir_3",-0.0854902639346623,0.292980766784697,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_4","PhysVir_4",-0.0688308184865042,0.227054432316084,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_5","PhysVir_5",-0.145314463935735,0.324684986858664,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_6","PhysVir_6",-0.0932128357399397,0.221432762699794,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
