,Row.Names,NMDS1,NMDS2,Pollinator,species2,Salvia,species3,species4
Salvia.azurea,Salvia.azurea,-0.466508145,0.005816191,Bee,Salvia azurea,YES,Salvia.azurea,Salvia_azurea
Salvia.ballotiflora,Salvia.ballotiflora,-0.186005035,-0.34264463,Bee,Salvia ballotiflora,YES,Salvia.ballotiflora,Salvia_ballotiflora
Salvia.blepharophylla,Salvia.blepharophylla,0.169138282,-0.307649491,Bird,Salvia blepharophylla,YES,Salvia.blepharophylla,Salvia_blepharophylla
Salvia.chionophylla,Salvia.chionophylla,-0.674601502,0.081658468,Bee,Salvia chionophylla,YES,Salvia.chionophylla,Salvia_chionophylla
Salvia.coccinea,Salvia.coccinea,0.304630081,-0.073722422,Bird,Salvia coccinea,YES,Salvia.coccinea,Salvia_coccinea
Salvia.darcyi,Salvia.darcyi,0.142829409,-0.220028973,Bird,Salvia darcyi,YES,Salvia.darcyi,Salvia_darcyi
Salvia.farinacea,Salvia.farinacea,-0.135762993,-0.026296692,Bee,Salvia farinacea,YES,Salvia.farinacea,Salvia_farinacea
Salvia.greggii,Salvia.greggii,0.147378299,0.12940244,Bird,Salvia greggii,YES,Salvia.greggii,Salvia_greggii
Salvia.leucantha,Salvia.leucantha,0.112915696,-0.224480875,Bee,Salvia leucantha,YES,Salvia.leucantha,Salvia_leucantha
Salvia.microphylla,Salvia.microphylla,0.292029302,0.281790105,Bird,Salvia microphylla,YES,Salvia.microphylla,Salvia_microphylla
Salvia.regla,Salvia.regla,0.282461592,-0.033825967,Bird,Salvia regla,YES,Salvia.regla,Salvia_regla
Salvia.roemeriana,Salvia.roemeriana,0.144991868,0.457492905,Bird,Salvia roemeriana,YES,Salvia.roemeriana,Salvia_roemeriana
Salvia.sinaloensis,Salvia.sinaloensis,-0.133496853,0.27248894,Bee,Salvia sinaloensis,YES,Salvia.sinaloensis,Salvia_sinaloensis
