"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"AniQWr_1","AniQWr_1",-0.0478664036381768,-0.328491789324546,"AniQWr_1","BIRD",4,"Anisacanthus quadrifidus","NO"
"AniQWr_2","AniQWr_2",-0.0551902134794076,-0.334254795683756,"AniQWr_1","BIRD",4,"Anisacanthus quadrifidus","NO"
"AniQWr_3","AniQWr_3",-0.0573359262416507,-0.352806887334989,"AniQWr_1","BIRD",4,"Anisacanthus quadrifidus","NO"
"AniQWr_4","AniQWr_4",0.255770266960747,-0.157012277781156,"AniQWr_1","BIRD",4,"Anisacanthus quadrifidus","NO"
"AniQWr_7","AniQWr_7",0.0768528833343931,-0.521488771961199,"AniQWr_1","BIRD",4,"Anisacanthus quadrifidus","NO"
"AniQWr_8","AniQWr_8",-0.0523339062584579,-0.218515256267617,"AniQWr_1","BIRD",4,"Anisacanthus quadrifidus","NO"
"PhysVir_10","PhysVir_10",0.0136091956883503,-0.194056271620651,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_11","PhysVir_11",0.105540763135722,-0.292742065525655,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_12","PhysVir_12",0.293771081706743,-0.0957414672226673,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_13","PhysVir_13",0.0825873260568461,-0.249109047292561,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_14","PhysVir_14",0.267797552150223,-0.109820442959227,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_20","PhysVir_20",0.123209502519074,-0.254870871195989,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"PhysVir_3","PhysVir_3",0.080187613590801,-0.211432342993039,"PhysVir_3","BEE",NA,"Physostegia virginiana","NO"
"RueBrit_10","RueBrit_10",-0.271545796576277,-0.249532359651793,"RueBrit_4","BEE",4,"Ruellia brittoniana","NO"
"RueBrit_19","RueBrit_19",-0.0961655801327473,-0.190155263237835,"RueBrit_4","BEE",4,"Ruellia brittoniana","NO"
"RueBrit_20","RueBrit_20",0.215477797128093,0.0213395705332009,"RueBrit_4","BEE",4,"Ruellia brittoniana","NO"
"RueBrit_21","RueBrit_21",0.350145776297437,0.0904780806016124,"RueBrit_4","BEE",4,"Ruellia brittoniana","NO"
"RueBrit_22","RueBrit_22",-0.189864390473799,-0.246539425597842,"RueBrit_4","BEE",4,"Ruellia brittoniana","NO"
"SalAzu_10","SalAzu_10",-0.215241168679935,0.0637512339122087,"SalAzu_5","BEE",1,"Salvia azurea","SALVIA"
"SalAzu_11","SalAzu_11",-0.278017367749864,0.0918829016575092,"SalAzu_5","BEE",1,"Salvia azurea","SALVIA"
"SalAzu_12","SalAzu_12",-0.279377159004415,0.129844246920745,"SalAzu_5","BEE",1,"Salvia azurea","SALVIA"
"SalBall_1","SalBall_1",-0.0874000856812471,0.271110421775088,"SalBall_6","BEE",3,"Salvia ballotiflora","SALVIA"
"SalBall_2","SalBall_2",-0.18359111023023,0.14762885547684,"SalBall_6","BEE",3,"Salvia ballotiflora","SALVIA"
"SalBall_3","SalBall_3",-0.0889828550849024,0.244818044552449,"SalBall_6","BEE",3,"Salvia ballotiflora","SALVIA"
"SalBall_4","SalBall_4",-0.217660238087556,0.161464979706917,"SalBall_6","BEE",3,"Salvia ballotiflora","SALVIA"
"SalBall_5","SalBall_5",0.0797344539762126,0.368673283988629,"SalBall_6","BEE",3,"Salvia ballotiflora","SALVIA"
"SalBle_2","SalBle_2",-0.0604611937507311,0.469038786582359,"SalBle_7","BIRD",2,"Salvia blepharophylla","SALVIA"
"SalBle_20","SalBle_20",0.267857835674401,0.0732922177738709,"SalBle_7","BIRD",2,"Salvia blepharophylla","SALVIA"
"SalBle_22","SalBle_22",-0.20656482144536,-0.158344021150465,"SalBle_7","BIRD",2,"Salvia blepharophylla","SALVIA"
"SalBle_23","SalBle_23",0.0214860424497583,-0.112395578421742,"SalBle_7","BIRD",2,"Salvia blepharophylla","SALVIA"
"SalBle_5","SalBle_5",0.0320804063859771,0.309019360061254,"SalBle_7","BIRD",2,"Salvia blepharophylla","SALVIA"
"SalBle_SB1","SalBle_SB1",0.104499846350224,0.393390131382024,"SalBle_7","BIRD",2,"Salvia blepharophylla","SALVIA"
"SalBle_SBW5","SalBle_SBW5",-0.00674368236411499,-0.0360589747001233,"SalBle_7","BIRD",2,"Salvia blepharophylla","SALVIA"
"SalBle_SBW6","SalBle_SBW6",0.0801256496550938,0.139872946665811,"SalBle_7","BIRD",2,"Salvia blepharophylla","SALVIA"
"SalChio_1","SalChio_1",-0.299944538841925,0.146114965335582,"SalChio_8","BEE",2,"Salvia chionophylla","SALVIA"
"SalChio_6","SalChio_6",-0.38560384805328,0.26551036269776,"SalChio_8","BEE",2,"Salvia chionophylla","SALVIA"
"SalChio_8","SalChio_8",-0.355666292677675,0.338337411992895,"SalChio_8","BEE",2,"Salvia chionophylla","SALVIA"
"SalCoc_1","SalCoc_1",-0.164941354818845,-0.141580064271934,"SalCoc_9","BIRD",1,"Salvia coccinea","SALVIA"
"SalCoc_10","SalCoc_10",-0.14261241537378,-0.12721794140766,"SalCoc_9","BIRD",1,"Salvia coccinea","SALVIA"
"SalCoc_11","SalCoc_11",-0.137092093800314,-0.0873291117238731,"SalCoc_9","BIRD",1,"Salvia coccinea","SALVIA"
"SalCoc_2","SalCoc_2",-0.0605527346606884,-0.0594412056483339,"SalCoc_9","BIRD",1,"Salvia coccinea","SALVIA"
"SalCoc_3","SalCoc_3",-0.130357779380087,-0.105511076425313,"SalCoc_9","BIRD",1,"Salvia coccinea","SALVIA"
"SalCoc_4","SalCoc_4",-0.0516071890864186,-0.088888792969397,"SalCoc_9","BIRD",1,"Salvia coccinea","SALVIA"
"SalCoc_5","SalCoc_5",-0.0302170966908886,-0.0590000820392945,"SalCoc_9","BIRD",1,"Salvia coccinea","SALVIA"
"SalCoc_6","SalCoc_6",-0.0272218721916655,0.0222851962489687,"SalCoc_9","BIRD",1,"Salvia coccinea","SALVIA"
"SalDar_1","SalDar_1",0.222049892612508,0.0512729393332418,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_10","SalDar_10",0.0931901651480304,0.199230492734695,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_11","SalDar_11",0.0212743448265612,0.266832436004926,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_12","SalDar_12",-0.0209110163130717,0.00583477711484905,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_14","SalDar_14",0.0878747963965277,0.234146298745096,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_15","SalDar_15",-0.0212343625650561,-0.00270111758202326,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
"SalDar_2","SalDar_2",0.283040581678688,0.067887246420464,"SalDar_10","BIRD",NA,"Salvia darcyi","SALVIA"
