CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
1395	1429	0	1395	0.9735	1395	45	NA
1995	2085	0	1995	0.9744	1995	184	NA
7023	7497	-0.001	7023	0.9473	7023	213	NA
7497	8063	0.001	7497	0.8929	7497	213	NA
7023	8063	0	7023	0.8915	7023	213	NA
1949	2061	0	1949	0.9129	1949	363	NA
1947	2048	-0.001	1947	0.9148	1947	363	NA
2046	2048	-17.027	2046	0.9467	2046	363	adduct_rel_H_NH4 or NH3
1989	2094	-17.027	1989	0.9447	1989	363	adduct_rel_H_NH4 or NH3
1947	2095	17.026	1947	0.8982	1947	363	adduct_rel_H_NH4 or NH3
1989	1992	-17.027	1989	0.9465	1989	363	adduct_rel_H_NH4 or NH3
1989	2048	-17.027	1989	0.9486	1989	363	adduct_rel_H_NH4 or NH3
1947	2094	-0.001	1947	0.9063	1947	363	NA
1949	2046	-0.001	1949	0.9171	1949	363	NA
2061	2094	-17.027	2061	0.9398	2061	363	adduct_rel_H_NH4 or NH3
1989	2095	0	1989	0.9952	1989	363	NA
2046	2094	-17.027	2046	0.9428	2046	363	adduct_rel_H_NH4 or NH3
2046	2061	0	2046	0.9914	2046	363	NA
1989	2046	0	1989	0.9938	1989	363	NA
2048	2095	17.027	2048	0.9454	2048	363	adduct_rel_H_NH4 or NH3
1992	2095	17.026	1992	0.946	1992	363	adduct_rel_H_NH4 or NH3
1949	2095	-0.001	1949	0.9163	1949	363	NA
1992	2048	0	1992	0.9906	1992	363	NA
1949	1989	0	1949	0.9185	1949	363	NA
2048	2094	0	2048	0.9886	2048	363	NA
1992	2094	0	1992	0.9882	1992	363	NA
1989	2061	0	1989	0.9932	1989	363	NA
2048	2061	17.027	2048	0.9432	2048	363	adduct_rel_H_NH4 or NH3
2046	2095	0	2046	0.9939	2046	363	NA
1947	1992	0	1947	0.9078	1947	363	NA
1947	1989	17.026	1947	0.9001	1947	363	adduct_rel_H_NH4 or NH3
2061	2095	0	2061	0.9955	2061	363	NA
1992	2061	17.026	1992	0.9442	1992	363	adduct_rel_H_NH4 or NH3
1947	2061	17.026	1947	0.8962	1947	363	adduct_rel_H_NH4 or NH3
2094	2095	17.027	2094	0.9416	2094	363	adduct_rel_H_NH4 or NH3
1992	2046	17.026	1992	0.9464	1992	363	adduct_rel_H_NH4 or NH3
1947	2046	17.026	1947	0.8986	1947	363	adduct_rel_H_NH4 or NH3
25669	26140	15.996	25669	0.8994	25669	661	O
24669	25669	-2.017	24669	0.8777	24669	661	H2
9490	10769	0	9490	0.9291	9490	1872	NA
9490	10407	0	9490	0.9241	9490	1872	NA
10407	10769	0	10407	0.9732	10407	1872	NA
11779	11970	-0.002	11779	0.6908	11779	5529	NA
699	699	0	1	1	1	-1	NA
2772	2772	0	1	1	1	-1	NA
4401	4401	0	1	1	1	-1	NA
23927	23927	0	1	1	1	-1	NA
14039	14039	0	1	1	1	-1	NA
18543	18543	0	1	1	1	-1	NA
23973	23973	0	1	1	1	-1	NA
15580	15580	0	1	1	1	-1	NA
13324	13324	0	1	1	1	-1	NA
6632	6632	0	1	1	1	-1	NA
2574	2574	0	1	1	1	-1	NA
4788	4788	0	1	1	1	-1	NA
5604	5604	0	1	1	1	-1	NA
2080	2080	0	1	1	1	-1	NA
29351	29351	0	1	1	1	-1	NA
13617	13617	0	1	1	1	-1	NA
25355	25355	0	1	1	1	-1	NA
24150	24150	0	1	1	1	-1	NA
