CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
2433	2495	0	2433	0.8682	2433	29	NA
1492	1495	-42.01	1492	0.7573	1492	774	N3:C2H2O
3199	3462	0	3199	0.9111	3199	1117	NA
2140	2214	0	2140	0.8895	2140	1203	NA
1873	2140	0	1873	0.8927	1873	1203	NA
356	374	-17.026	356	0.9556	356	1277	adduct_rel_H_NH4 or NH3
374	396	-0.984	374	0.9347	374	1277	NH3<->OH
356	396	-18.01	356	0.9319	356	1277	H2O
7259	7349	18.01	7259	0.7512	7259	1351	H2O
2910	3003	0	2910	0.9628	2910	1445	NA
14612	15108	-0.001	14612	0.7573	14612	1490	NA
19372	19750	-0.001	19372	0.8613	19372	3007	NA
18754	19372	0	18754	0.846	18754	3007	NA
18754	19750	-0.001	18754	0.8402	18754	3007	NA
11039	11039	0	1	1	1	-1	NA
2597	2597	0	1	1	1	-1	NA
339	339	0	1	1	1	-1	NA
2421	2421	0	1	1	1	-1	NA
20998	20998	0	1	1	1	-1	NA
2028	2028	0	1	1	1	-1	NA
6925	6925	0	1	1	1	-1	NA
2473	2473	0	1	1	1	-1	NA
4330	4330	0	1	1	1	-1	NA
8339	8339	0	1	1	1	-1	NA
4806	4806	0	1	1	1	-1	NA
9387	9387	0	1	1	1	-1	NA
31895	31895	0	1	1	1	-1	NA
1030	1030	0	1	1	1	-1	NA
16164	16164	0	1	1	1	-1	NA
26429	26429	0	1	1	1	-1	NA
26548	26548	0	1	1	1	-1	NA
21279	21279	0	1	1	1	-1	NA
27352	27352	0	1	1	1	-1	NA
