CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
30604	31066	0	30604	0.902	30604	75	NA
481	2480	144.041	481	0.9099	481	75	NA
481	30710	144.042	481	0.9182	481	75	NA
30604	30710	0	30604	0.9349	30604	75	NA
30177	31066	0	30177	0.9188	30177	75	NA
30710	31066	0	30710	0.9365	30710	75	NA
524	528	162.052	524	0.8548	524	107	C6H10O5_C6H10O5:C6H10O5_monosaccharide (-H2O):C9H13N3O10P2_cytidine 5' diphosphate (-H2O):C6H10O5
456	2394	-35.037	456	0.8648	456	812	NA
157	157	0	1	1	1	-1	NA
169	169	0	1	1	1	-1	NA
31655	31655	0	1	1	1	-1	NA
478	478	0	1	1	1	-1	NA
2286	2286	0	1	1	1	-1	NA
445	445	0	1	1	1	-1	NA
30763	30763	0	1	1	1	-1	NA
2359	2359	0	1	1	1	-1	NA
922	922	0	1	1	1	-1	NA
3392	3392	0	1	1	1	-1	NA
13832	13832	0	1	1	1	-1	NA
411	411	0	1	1	1	-1	NA
