CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
27393	28235	-28.032	27393	0.9029	27393	46	C2H4
27338	28235	-28.031	27338	0.9018	27338	46	C2H4
28235	29403	-56.062	28235	0.9321	28235	46	C4H8
27338	27393	0.001	27338	0.9357	27338	46	NA
27393	29403	-84.094	27393	0.9172	27393	46	NA
27338	29403	-84.093	27338	0.9162	27338	46	NA
29353	29952	0	29353	0.9232	29353	56	NA
23152	25642	-28.031	23152	0.8062	23152	249	C2H4
23152	26008	-42.01	23152	0.8255	23152	249	N3:C2H2O
29882	31090	0	29882	0.9019	29882	254	NA
216	29882	0	216	0.8034	216	254	NA
216	30639	0.001	216	0.7832	216	254	NA
29882	30639	0	29882	0.8428	29882	254	NA
30639	32121	0	30639	0.8914	30639	254	NA
29882	32121	0	29882	0.8591	29882	254	NA
31090	32121	0	31090	0.8801	31090	254	NA
30639	31090	0	30639	0.8987	30639	254	NA
216	31090	0.001	216	0.7957	216	254	NA
23929	23930	18.011	23929	0.9213	23929	263	H2O
29544	30254	159.102	29544	0.6821	29544	267	NA
30822	31118	-28.031	30822	0.9173	30822	467	C2H4
29675	29869	0	29675	0.8724	29675	468	NA
22850	23022	-44.007	22850	0.7218	22850	563	NA
22850	25965	-28.032	22850	0.9218	22850	563	C2H4
30100	30658	-28.031	30100	0.9611	30100	563	C2H4
18671	25090	-28.032	18671	0.721	18671	563	C2H4
28737	30100	-28.031	28737	0.8945	28737	563	C2H4
28737	30658	-56.062	28737	0.8558	28737	563	C4H8
18671	25965	-56.063	18671	0.9642	18671	563	C4H8
18671	22850	-28.031	18671	0.9584	18671	563	C2H4
25943	26579	-0.001	25943	0.8883	25943	595	NA
24326	26579	0	24326	0.9254	24326	595	NA
26579	28104	-28.031	26579	0.9171	26579	595	C2H4
22984	23374	46.005	22984	0.8219	22984	635	CH2O2
24313	25944	-42.01	24313	0.9559	24313	708	N3:C2H2O
23569	23924	-0.001	23569	0.9311	23569	3605	NA
1127	1127	0	1	1	1	-1	NA
842	842	0	1	1	1	-1	NA
23968	23968	0	1	1	1	-1	NA
5736	5736	0	1	1	1	-1	NA
19753	19753	0	1	1	1	-1	NA
13889	13889	0	1	1	1	-1	NA
21348	21348	0	1	1	1	-1	NA
23062	23062	0	1	1	1	-1	NA
1845	1845	0	1	1	1	-1	NA
23567	23567	0	1	1	1	-1	NA
24799	24799	0	1	1	1	-1	NA
6151	6151	0	1	1	1	-1	NA
23568	23568	0	1	1	1	-1	NA
28582	28582	0	1	1	1	-1	NA
28037	28037	0	1	1	1	-1	NA
29777	29777	0	1	1	1	-1	NA
29395	29395	0	1	1	1	-1	NA
23424	23424	0	1	1	1	-1	NA
30094	30094	0	1	1	1	-1	NA
28618	28618	0	1	1	1	-1	NA
28438	28438	0	1	1	1	-1	NA
24559	24559	0	1	1	1	-1	NA
28695	28695	0	1	1	1	-1	NA
30079	30079	0	1	1	1	-1	NA
32441	32441	0	1	1	1	-1	NA
32058	32058	0	1	1	1	-1	NA
32303	32303	0	1	1	1	-1	NA
29988	29988	0	1	1	1	-1	NA
