	AniQWr_1	AniQWr_2	AniQWr_3	AniQWr_4	AniQWr_7	AniQWr_8	PhysVir_10	PhysVir_11	PhysVir_12	PhysVir_13	PhysVir_14	PhysVir_20	PhysVir_3	RueBrit_10	RueBrit_19	RueBrit_20	RueBrit_21	RueBrit_22	SalAzu_10	SalAzu_11	SalAzu_12	SalBall_1	SalBall_2	SalBall_3	SalBall_4	SalBall_5	SalBle_2	SalBle_20	SalBle_22	SalBle_23	SalBle_5	SalBle_SB1	SalBle_SBW5	SalBle_SBW6	SalChio_1	SalChio_6	SalChio_8	SalCoc_1	SalCoc_10	SalCoc_11	SalCoc_2	SalCoc_3	SalCoc_4	SalCoc_5	SalCoc_6	SalDar_1	SalDar_10	SalDar_11	SalDar_12	SalDar_14	SalDar_15	SalDar_2	SalDar_20	SalDar_3	SalFar_10	SalFar_11	SalFar_12	SalFar_13	SalFar_14	SalFar_15	SalFar_18	SalFar_2	SalFar_20	SalFar_3	SalGreg_1	SalGreg_10	SalGreg_2	SalGreg_3	SalGreg_4	SalGreg_5	SalGreg_7	SalGreg_8	SalLeu_20	SalLeu_21	SalLeu_22	SalLeu_23	SalLeu_25	SalLeu_26	SalLeu_5	SalMic_1	SalMic_2	SalMic_3	SalMic_4	SalMic_5	SalMic_7	SalMic_8	SalReg_B1	SalReg_FM15	SalReg_W2	SalReg_W4	SalRoe_1	SalRoe_3	SalRoe_4	SalRoe_5	SalRoe_6	SalRoe_7	SalSin_4	SalSin_B2	SalSin_B6	ScutSuf_2	ScutSuf_20	ScutSuf_5	ScutSuf_8	ScutSuf_B1	ScutSuf_B2	ScutSuf_B3	ScutWri_4	ScutWri_5	ScutWri_6	ScutWrit_1	ScutWrit_2	ScuWri_9	StaCoc_2	StaCoc_3
AniQWr_1	0.0	0.24709830440545566	0.0676344534360741	0.37265482260762484	0.5262539395630004	0.16643981517420503	0.6902705835721767	0.8282707339132369	0.8759377257929555	0.791118470508055	0.8671764704799835	0.8370593771083619	0.7849110493607202	0.8595305923230179	0.6781071099271823	0.8676964564450811	0.9508330837048662	0.8003777758520907	0.8383601086701813	0.8768102577357167	0.9031009778819308	0.9124236918900531	0.8745423749604558	0.8646473600490769	0.870823772713185	0.9703136087021424	0.972958749547014	0.9227837511475383	0.7820702665501935	0.768551680513071	0.9173351344389116	0.9589076082707039	0.7441210929977609	0.8198558990159153	0.9216120675660089	0.998658916795849	0.9988811699296732	0.742376728447421	0.6928892422301454	0.7526282134117849	0.6743044469097298	0.74115069252268	0.6700018735574463	0.6729077267083243	0.7598117203857716	0.8872534386254041	0.8722240794077214	0.8906114427285106	0.7354996449065461	0.892507956985225	0.7309765618650417	0.9270473972735478	0.6723504511920977	0.8752433578083236	0.9103249592271874	0.7544460904169173	0.8331377137830994	0.7477327813024003	0.7642656570149243	0.7527012222266073	0.7533519619181055	0.8751514347179397	0.8200641890875353	0.8027709496086126	0.7440408052922917	0.8594388383373968	0.9284805224587952	0.8421522115263474	0.7041339733808097	0.6468070221793223	0.8636819062133487	0.7341612791492418	0.7558080619056403	0.8642852912651575	0.7836561039162431	0.8622297449055676	0.9027520206882894	0.668177162786898	0.731278461397985	0.7648867215685909	0.8180024031591808	0.960834114125308	0.9665680886736857	0.848717514086322	0.884315136675462	0.6975139918741661	0.7919609328739377	0.7175992571828178	0.6870576814591296	0.6937454223081685	0.9024450823212441	0.9108292226917352	0.9999875850266723	0.9253103517018023	0.9118801640674439	0.7696733339724052	0.8996086236662636	0.9481424774497336	0.7521367884008467	0.9245003865570889	0.6912153620749553	0.8120274184605627	0.7881785870197968	0.7227171158406429	0.757148780765096	0.8791972262133049	0.6561586836396225	0.6624795972653665	0.8948715116563906	0.7068774751867415	0.8858149121745545	0.9025170700908385	0.7199810217943614	0.7113159424529456
AniQWr_2	0.24709830440545566	0.0	0.39191774356146203	0.2641982478688397	0.735042981195441	0.20088491575586342	0.6740004885273096	0.8303183552735645	0.8822861699261275	0.7821647092166734	0.8656344554901905	0.8253588135430545	0.7762116934221419	0.8724828283337204	0.718367701799611	0.884991328838442	0.9600361294602338	0.8307261088340712	0.8430105002034863	0.8867518045464793	0.9130936834564133	0.9171149637762243	0.8856465921201182	0.867930638915829	0.8731250475277099	0.9701647643926967	0.9747294711315692	0.9248957084405296	0.7968350631826174	0.7690811761270765	0.9126474653957245	0.95929129008997	0.7636513453089854	0.8179740043937738	0.9290406103582318	0.999949544876196	0.9999958865869708	0.7662860167638128	0.7185326102858014	0.7724963090143501	0.6507486130485193	0.7709027655835536	0.6922692389177223	0.6925497905499091	0.7693623196537547	0.8950570001277005	0.866137229242447	0.898464289577638	0.7461437220598812	0.8932515812212919	0.7469764366682208	0.9314131170114228	0.7028710165660732	0.8841855749182819	0.9182455872943667	0.7695730508989299	0.8465849010198133	0.7569335688604769	0.7740894878334215	0.7626875026387634	0.7567001258812234	0.8779449118206075	0.8200476802418021	0.8079548501663758	0.7643392480303757	0.8711791895679737	0.9345893713927612	0.8469875137140813	0.7314449525354041	0.6694384113440282	0.8687244383085339	0.7523073426317859	0.7787420496665642	0.8673482054829708	0.7913499357758105	0.8655255341266924	0.899897544566819	0.6856160027890599	0.7499970782388958	0.7828991118778275	0.8230243026496664	0.9641453485478427	0.9693674956205786	0.8615008802228512	0.894122785437202	0.7149836567370198	0.8136813425216806	0.7265734279178822	0.704860939724348	0.7015883512271616	0.9207564247805526	0.9166149774896662	0.999992935804932	0.9301412514659746	0.9128607241001914	0.7810044563963627	0.9071039069594125	0.9518125777363637	0.758093301786984	0.9249871199117515	0.692135800851177	0.8129649771491094	0.7329509805620427	0.7206910406087745	0.794018845208913	0.8734707101566634	0.6694864496032953	0.666077969554675	0.9124817225560845	0.7729520681324945	0.8997737950388236	0.9006064491372933	0.7309630015949891	0.7254593291475777
AniQWr_3	0.0676344534360741	0.39191774356146203	0.0	0.48032635186019423	0.3740363254550696	0.26357344144350914	0.7591748223449346	0.8838167535752636	0.9113510734903639	0.8613164379369762	0.9148244021220997	0.8993379570580848	0.8459859795401372	0.8970551973950315	0.7365360666079925	0.8768741120264107	0.9492037540150945	0.8295341001793394	0.8672315490149691	0.8982462639288519	0.9169485479720272	0.9192187561784768	0.8859319251104388	0.8771784553496659	0.8873256593427594	0.9700946829717072	0.9726521794079922	0.9345550115378891	0.8132347921623733	0.8161359402681911	0.9287200586442182	0.9584024956267325	0.779228167316863	0.83733308005809	0.9335644581783273	0.9991699652912662	0.9993254497693719	0.7748249059537892	0.7310937439065961	0.7875916583472367	0.7087497173150049	0.7711410511272304	0.7040311119909184	0.7131428233744304	0.7816478859289224	0.8985581899751952	0.8897624439257462	0.8982380561813248	0.762262679109406	0.9019852961924698	0.7528254724073373	0.9383206719796183	0.7016058801278728	0.8881899498731456	0.9250734861731692	0.7917212796518519	0.8458167456930421	0.7743598818741843	0.7814587553735212	0.7744938746848212	0.7776614520953744	0.89431999845284	0.8607673540321108	0.8418695246945582	0.7788123373582972	0.8846252040962997	0.9378747866376632	0.861548245544278	0.7426716510117415	0.6744578021560512	0.8827048295574628	0.7715756979872592	0.775567858148936	0.8768941816426291	0.8032025881918566	0.875166834984229	0.9162021243239267	0.7155382186921173	0.7428709154045023	0.7983405910501303	0.8499356471406235	0.9671082930787971	0.9716623019899153	0.890369322076161	0.9028557926561303	0.7299382586188006	0.8238519310777521	0.7543745221082269	0.7208425305451216	0.7224197795618652	0.9191143695744636	0.9097503067784544	0.9999930802696295	0.924389132892649	0.9250764498741155	0.7973275937817335	0.8988326599527742	0.9476486387730169	0.7901429063761882	0.9305210745376307	0.7285291443959737	0.8336236174369329	0.8092095561845931	0.7743076309199584	0.7808357073342974	0.9050123895236182	0.7094958058382765	0.7203874954106657	0.9027649846032415	0.7350243517440013	0.8967129251176088	0.9144072477293923	0.7609897847670473	0.7484135189816232
AniQWr_4	0.37265482260762484	0.2641982478688397	0.48032635186019423	0.0	0.8132157850478203	0.43293268207155555	0.7504885949006485	0.8572175048207299	0.6561184411799924	0.8272819538862841	0.6525398673340227	0.859578209080205	0.8218853771464911	0.8922385811221986	0.7650545077615958	0.5907134689460041	0.7084361449281185	0.8526543119097636	0.8843068671536155	0.9135199429172113	0.9339510196725975	0.9282781111355046	0.9072473452904601	0.8945954199254554	0.9031084995306954	0.9225951516312105	0.9787781972074192	0.7008451755032372	0.8486243757385185	0.8225048187479088	0.9292288066885875	0.9626129160366058	0.8104757478565902	0.6991450922213409	0.9467386821767706	0.9999804677332943	0.9999792485402044	0.8209153217030613	0.7859681471693984	0.8285551049155236	0.7542548906465746	0.8214399909738628	0.7633078510124564	0.761847173989774	0.8237809341949593	0.6292685050283188	0.7832629250131982	0.9125282494468049	0.8061040683505932	0.8157021837849817	0.804340128186323	0.6916736178628977	0.7652063096842139	0.5959857492282674	0.9301468003794459	0.8259105197989811	0.8750904437397812	0.8105083732449884	0.8256100176059968	0.7934309749532823	0.8165201920682539	0.729128157358329	0.8605958969190923	0.859611622722957	0.8216178267964982	0.8986526322416035	0.71566199595983	0.6029474213531075	0.7780839420331019	0.7306202654193156	0.6235364189629047	0.8139226374754792	0.8256022824047753	0.8963464077615729	0.6177259162367146	0.7696098896954469	0.9180435272249311	0.7565318325762628	0.556781719383642	0.8366634938677894	0.8724882045014343	0.7447723539101485	0.7513280442496912	0.8935974106272317	0.9164359952860452	0.7809911734575561	0.8419511686029989	0.7936567931962246	0.7753106376560509	0.7630955779478396	0.9243386693494723	0.9300541955674766	0.8135341109986128	0.7218371331994252	0.6771088444909048	0.8232273069793039	0.9221014541272282	0.7049496486372668	0.8140487550079017	0.6723094539839322	0.7527747386628981	0.5428680018795442	0.8450080387340699	0.7911184653086276	0.8200854923564127	0.8980447020176893	0.7450807027679847	0.7477332007563259	0.5656796151208346	0.7709851845634781	0.5973741725172148	0.9185323912642894	0.7979018323295011	0.7913335717362981
AniQWr_7	0.5262539395630004	0.735042981195441	0.3740363254550696	0.8132157850478203	0.0	0.6647622462020817	0.9087085228178591	0.8818088228498409	0.9184026671376644	0.8664029938503413	0.8987606484607973	0.8772298355185081	0.8738639815189166	0.9684671589943115	0.9449974111652504	0.9999074388066382	0.99992875825442	0.9622179264858086	0.9972172618247956	0.9835738469013975	0.9970767339775118	0.9979396644401737	0.9969916404092949	0.9984534512769379	0.983150935524379	0.9992970341633299	0.9997348287409009	0.99995182521005	0.9996954491650883	0.9327370100145986	0.9889128865415227	0.9999830886101764	0.9717276442282525	0.9999853667811166	0.9967312365697062	0.9974519390623677	0.9979714935977931	0.9998750531576388	0.9996201163371302	0.999795899289693	0.9998879455973037	0.9994390089593843	0.9999329915205313	0.9772917501265624	0.9998949115962675	0.9999790934193498	0.9836355950037363	1.0	1.0	1.0	1.0	0.9999763717116332	0.999938809222783	0.999971016833031	0.9966671584074844	0.9781154017593701	0.9980161009885713	0.99772613121292	0.9991749702748584	0.9983339643468189	0.9974222065974978	0.9970928197585178	0.9606826534505533	0.9740514725782834	0.9998511470431141	0.999925176041147	0.9999793347491875	0.9999442155838624	0.9689038540296127	0.998972134948997	0.9819303658064119	0.9998220220531485	0.9999663726358958	0.9999431334755748	0.9998601555487984	0.9999761108082886	0.9856256853349156	0.9754062052408361	0.9999288748384663	0.99990588866269	0.9999206383918028	0.9999742036538841	0.9999836789637796	0.9999425586079804	0.999842699809848	0.9999359444793562	0.9999098148082383	0.9863536725792466	0.9999093178250452	0.9998945083505036	0.9441227560006262	0.9997947083179057	0.9999444347864372	1.0	0.9798888599371263	0.9775586198253853	0.9979872543322855	0.999389061937709	0.9720240968878251	0.9835988201030904	0.9998982981262696	0.9999720609773288	0.999933142790721	0.9599093194328033	0.9529168204314381	0.9490117131214535	0.97896363179681	0.9660319992398497	0.9848239158260026	0.9989369476587161	0.9989695245748968	0.9727509584408074	1.0	0.9997812287668891
AniQWr_8	0.16643981517420503	0.20088491575586342	0.26357344144350914	0.43293268207155555	0.6647622462020817	0.0	0.6798610607956255	0.8993958525631411	0.9432770475645946	0.8193618104805163	0.928941483797834	0.8562050489243638	0.7801864331493609	0.8342851840436057	0.7034683133650064	0.8227065201536858	0.9329666322828791	0.8312689957888335	0.7393169239239493	0.8458642855357481	0.8688313505971278	0.8392659180938356	0.7735210347886373	0.7655117676420025	0.7778356591149379	0.940185717153741	0.9448096649640597	0.8706853576677809	0.6828545349287638	0.6376455511613154	0.8579352419329268	0.9160924744295885	0.5629357088435438	0.6882680287943448	0.8895261775625938	0.9999815606054332	0.9999908502083852	0.6448905253519006	0.5847145096867963	0.6487893952484102	0.46495951749450004	0.6705752325462989	0.4826328124231173	0.47613276440183694	0.5649776610107554	0.8149941305955652	0.7807359618315752	0.8097121000724179	0.5232860055537782	0.8047483546669022	0.5422909302652874	0.8910131936144441	0.5043676361596181	0.7985358402853254	0.8523694655441595	0.6385207388060908	0.691734880514366	0.551738059246409	0.5643721103827646	0.5487554184776604	0.5751370400733515	0.7935467192489902	0.7665093953232246	0.7232680607342903	0.6330792505153578	0.7695299513919793	0.8990451777689706	0.7246382435813802	0.566752345740552	0.43420896600540093	0.7647309127155238	0.603908115627181	0.5841998687363379	0.7549151333351416	0.6081322854127684	0.7514035340715906	0.8329104869844421	0.4760219196940274	0.5741095604618452	0.6637431275372955	0.7035882672000485	0.9343394315438909	0.9430589131376321	0.7811511087995361	0.804978460370303	0.48800281873195206	0.7010834444897536	0.5126196286688498	0.487792539687983	0.46785292053829985	0.9998579857625419	0.8179372709975925	0.9999802993890673	0.84748631671581	0.8488726947384083	0.5933245687337649	0.7971918247944252	0.8947985554906095	0.5814915906382081	0.8580481685966297	0.46048753635852224	0.6691018814354328	0.6207224348841901	0.5472889793309157	0.730078687535519	0.8084422770185866	0.45775355973400866	0.4438354691757186	0.8448820513304016	0.665699971824249	0.8541837355810676	0.8274143029893972	0.5243751062071078	0.5000980919897091
PhysVir_10	0.6902705835721767	0.6740004885273096	0.7591748223449346	0.7504885949006485	0.9087085228178591	0.6798610607956255	0.0	0.3344952890348303	0.5089785751458877	0.23799782268696856	0.45713971094294137	0.37775370796416874	0.25276636988334533	0.6892320467748798	0.2000038112685517	0.7589212104870394	0.9046559950877441	0.5111223963457714	0.7545533683707253	0.7507287835937548	0.8369660406896375	0.8785903019235216	0.8353333485499901	0.7880554174921327	0.7526578323509143	0.9511320021111364	0.9577338046854913	0.8827136277378992	0.6331977753389617	0.4704652550275096	0.8301397116672607	0.9328644211867966	0.5848545086284997	0.6909595177698091	0.8728294235045371	0.9999940811536532	0.999996899031245	0.5543992690279111	0.4701399857029712	0.5785286324195328	0.35063132801028274	0.5350112362029595	0.4508699698220552	0.4105108444634695	0.6287132745409989	0.8164196539259001	0.7386810151633754	0.8403132647869299	0.5884183366564131	0.8277409994559678	0.5609064537452271	0.8810829675978027	0.441066101322785	0.7956361038333181	0.8868445235679031	0.543385746911978	0.7739739995220717	0.6095171173611795	0.6292463100623824	0.6598250093911555	0.5812752905697254	0.8053518110850393	0.5914458949274941	0.6022754495599749	0.5683317041957503	0.8318211517003298	0.8782452601032587	0.7548054471760699	0.4601915677449011	0.4001078017119375	0.765511052381218	0.5619020053022867	0.6260736293006353	0.7858374538794002	0.6606728377429281	0.7843399713988446	0.8015146982209541	0.3941901413553267	0.534241286625444	0.6060683591941289	0.7215454865302521	0.954531692434507	0.9605778443179281	0.8151443747389994	0.865732886432655	0.5190810334067553	0.7055571104910447	0.5236690446561609	0.4844494236724095	0.4977299327929986	0.603989885726961	0.8604714916036488	0.9999933232382191	0.880276476086786	0.8079468133235628	0.6253291314297118	0.8445364767663298	0.9162504669735942	0.5345214241302194	0.8352970096606567	0.5070790784583932	0.7019548091695957	0.48658676605758144	0.4385398719013289	0.41628444454791524	0.6661943309326319	0.39423199411137744	0.36250863633680375	0.8028220952692712	0.5505415872113257	0.7935879380635089	0.760028086977279	0.5647884416134752	0.5534350622336595
PhysVir_11	0.8282707339132369	0.8303183552735645	0.8838167535752636	0.8572175048207299	0.8818088228498409	0.8993958525631411	0.3344952890348303	0.0	0.2799280311138227	0.10816440768629099	0.25956051862171026	0.10925778714737544	0.08919084991188841	0.8257830582171777	0.421624877895292	0.7833079356993291	0.8896082522385284	0.5557110519640127	0.9082373429242334	0.8163506865894888	0.8885633511988986	0.9290397678299557	0.8942107611988135	0.9337944336366251	0.868280165939032	0.9658527982958344	0.9685217572748732	0.9628538609807541	0.8497054693642875	0.524866741226089	0.881552674417314	0.951917931950904	0.6960574259276905	0.8876382687803376	0.9239757039928933	0.9999952015266409	0.9999976189548336	0.770835154892389	0.767034766819531	0.7276403491615935	0.7719124487138692	0.6331025743354157	0.7413079775281112	0.6469382064112751	0.8242493884869055	0.8815796229267377	0.8489420073306492	0.8806570275402114	0.7888970903567216	0.9258908400487754	0.7471888812217449	0.93526710084959	0.6294836604721157	0.8666710499889405	0.9444004562828904	0.6960979483990692	0.8510483925512171	0.8303877255930414	0.8125632878310203	0.8302114476816556	0.8363845139462562	0.948857685566541	0.696016221537914	0.7668843499124826	0.7220054253639292	0.8928936795405368	0.9181662453742522	0.8832661085813697	0.5371536029418716	0.7146128524840822	0.7921750525584283	0.7386816050740611	0.8036143826609388	0.9028282906773452	0.8435406753140097	0.9108216470656219	0.8521942401736676	0.6168879043169502	0.7964455065371145	0.7549044760903668	0.8969945754603246	0.9752588660517842	0.9779146605605903	0.8401685544779769	0.9263268975875744	0.7320718350089119	0.741242898497288	0.7332704198580107	0.7255120767237409	0.7806969422581571	0.36675274581122375	0.8960853981639962	0.9999948733210098	0.9129319075991197	0.7878911649707508	0.6856595605022338	0.8839480173216847	0.9399418537798883	0.7268457254027952	0.8297376516544831	0.8151426406705494	0.8863317905580831	0.8679781706579218	0.6486037868132148	0.3335857574725809	0.5500441597495724	0.7164617707727403	0.65363942194127	0.8768931674511884	0.8129076430722865	0.8485496155707359	0.8051182042496107	0.759998604470086	0.7782507000019855
PhysVir_12	0.8759377257929555	0.8822861699261275	0.9113510734903639	0.6561184411799924	0.9184026671376644	0.9432770475645946	0.5089785751458877	0.2799280311138227	0.0	0.3424122961386604	0.044112436991273096	0.37659644686260385	0.3293578100955612	0.9020513264376602	0.581888007218516	0.26630429247724197	0.4397469890541802	0.6724675515305445	0.986265116577265	0.8794629855157916	0.9356760239612109	0.9546793412679835	0.9427935349022611	0.9611680760058071	0.9102598945123738	0.8794229754469634	0.9701925847872127	0.5582060640938257	0.9206431729548159	0.6902946601109086	0.9257773527611005	0.9546526798892244	0.8118964031423976	0.7047475056944261	0.9601185763430286	0.9999944140946307	0.9999970734638132	0.8552073871905496	0.8560172140786516	0.8483560419775751	0.8513185352172317	0.7611713928742719	0.8402345263768389	0.7544557591297625	0.9013727636536721	0.40007476519548546	0.7186294127975921	0.9218814013432334	0.8714741545458942	0.782170776666427	0.836157786716454	0.5060316641142137	0.7275372350316583	0.34619267359993566	0.9999526353253453	0.8263250968002653	0.9083951009305024	0.895340295920888	0.8748598937236953	0.9038407780952352	0.8917139660057023	0.6924756409578305	0.8093885426851621	0.8653211263144275	0.844319997638439	0.9779408139394392	0.5289316648809295	0.43447981186157125	0.6928095309554912	0.7990526221650236	0.3884108800482091	0.8649231159049569	0.8624312589783	0.9463419282430546	0.5077730700933457	0.7380432915982043	0.9051781647942542	0.7232478715567883	0.565856010584217	0.870457996573878	0.9849655725768295	0.5903826687943048	0.5932272854325256	0.9374182113795071	0.9999876183513493	0.8289784986292715	0.8654243283259195	0.8433715300189741	0.8332757874993464	0.8677353514611416	0.5089362253085411	0.9016197424323444	0.6634402970610302	0.5231353267219196	0.37674357669170255	0.8098309848310116	0.8903655646524237	0.48562099343216203	0.8051435364492693	0.38526053886965894	0.8987530572413768	0.46156597667561994	0.9305151846755779	0.8037681043885793	0.4383895102469094	0.6953970619707609	0.8114120375299144	0.7711136182964128	0.5785834532923639	0.8902073040112354	0.32068709633850256	0.8442022242325437	0.8600481924421002	0.8518555823776001
PhysVir_13	0.791118470508055	0.7821647092166734	0.8613164379369762	0.8272819538862841	0.8664029938503413	0.8193618104805163	0.23799782268696856	0.10816440768629099	0.3424122961386604	0.0	0.26360752711092283	0.14388566896712784	0.06121975027249116	0.7702135462963561	0.3908068574877075	0.7981914852489203	0.905435316784814	0.5796616189060653	0.8475289738114354	0.7861077823558067	0.8818318317188794	0.9017811361169962	0.8669092016955786	0.8839811556564406	0.80768423156173	0.9557475024933026	0.9592380015030405	0.9340277183785355	0.7949704943365454	0.40873148329416464	0.8538602842879256	0.937926995779623	0.5745487712109808	0.8230362976308855	0.9111082879500441	1.0	1.0	0.72309406932952	0.7065339411069839	0.7003483489736424	0.6670190543854817	0.6510996466892399	0.668729667081587	0.4936353881529171	0.7355449469542098	0.8571702403307171	0.7782764134533495	0.8677519803672246	0.6891322254140212	0.8801202332760928	0.6772999418544484	0.9194550742757461	0.5509885950646484	0.8418368092008871	0.9329115206643408	0.6213604540554024	0.8115673229828633	0.711665611165812	0.7224404098563685	0.7521318985164154	0.7423436797219491	0.8931024150329883	0.6235487462510471	0.6877380448855299	0.6911353760056991	0.8708984240097619	0.9117545249265784	0.8237556551657301	0.5062427555881328	0.6277842386232071	0.766500868905599	0.6906271268270238	0.6962613161838673	0.8512827549366615	0.7604643166420779	0.8498964326125118	0.8198050583224618	0.46433624014866715	0.7252411572269657	0.7244588773697873	0.8269961684364138	0.9701298831963736	0.973387407932079	0.8116822956528515	0.9117590715097725	0.6350183111948735	0.755089427559847	0.6113886421036926	0.6189200096408998	0.6538979635084943	0.49960508419376193	0.8653582000078588	1.0	0.8863198256218017	0.7618040390231421	0.6386617629077976	0.8499325324965625	0.9221686453581893	0.6029302510320027	0.8075877790277111	0.6751926594993543	0.8002098791193666	0.7740605579043722	0.5520139328262261	0.3165628654954723	0.5637829738051048	0.5773987165483537	0.4997873636781983	0.8305855265165137	0.7739083317142368	0.8511228224608702	0.7527563466612692	0.651325170101462	0.6310304210559565
