CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
13307	13754	0.001	13307	0.9897	13307	24	NA
29431	29458	-0.037	29431	0.9106	29431	68	NA
29458	29640	0	29458	0.9878	29458	68	NA
29431	29640	-0.037	29431	0.9127	29431	68	NA
8191	8792	0	8191	0.9249	8191	97	NA
8191	8528	0	8191	0.8391	8191	97	NA
8528	8792	0	8528	0.9319	8528	97	NA
19656	23328	15.995	19656	0.8499	19656	106	O
19656	20300	15.994	19656	0.86	19656	106	O
20300	23328	0	20300	0.8846	20300	106	NA
15721	15978	-0.002	15721	0.9753	15721	224	NA
12837	15978	-72.022	12837	0.9733	12837	224	CH2N3O:C3H492
12399	12837	0	12399	0.9447	12399	224	NA
12837	15721	-72.02	12837	0.9697	12837	224	CH2N3O:C3H492
13582	15978	15.994	13582	0.9487	13582	224	O
8956	15721	104.01	8956	0.9416	8956	224	NA
8956	15978	104.008	8956	0.9436	8956	224	NA
8956	12837	176.03	8956	0.9552	8956	224	C4H4N3O_cytosine (-H):C6H8O6:C6H8O6_Glucuronic Acid (-H2O)
10907	13582	-86	10907	0.9581	10907	224	C3H5NO2_Serine
19222	19584	0	19222	0.9393	19222	679	NA
13026	20648	31.99	13026	0.866	13026	679	O2
2698	2834	0	2698	0.9666	2698	712	NA
3702	4278	0	3702	0.9775	3702	1009	NA
29159	29283	0	29159	0.9737	29159	1184	NA
3246	9024	0	3246	0.9866	3246	1479	NA
4588	9024	0	4588	0.9973	4588	1479	NA
3246	4588	0	3246	0.9831	3246	1479	NA
3639	9024	0	3639	0.995	3639	1479	NA
3639	4588	0	3639	0.9907	3639	1479	NA
3246	3639	0	3246	0.9862	3246	1479	NA
14032	15940	15.995	14032	0.8797	14032	2693	O
3598	3717	0	3598	0.9244	3598	3027	NA
8773	9171	0	8773	0.9104	8773	3792	NA
3599	3719	0	3599	0.9512	3599	5218	NA
18888	18888	0	1	1	1	-1	NA
4791	4791	0	1	1	1	-1	NA
9710	9710	0	1	1	1	-1	NA
17264	17264	0	1	1	1	-1	NA
9955	9955	0	1	1	1	-1	NA
9417	9417	0	1	1	1	-1	NA
9541	9541	0	1	1	1	-1	NA
16720	16720	0	1	1	1	-1	NA
10247	10247	0	1	1	1	-1	NA
4912	4912	0	1	1	1	-1	NA
5115	5115	0	1	1	1	-1	NA
4913	4913	0	1	1	1	-1	NA
