	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	0.9852173404239835	0.9941222466654692	0.9963226911888066	0.993963334390554	0.9715343896367736	0.9963190963769657	0.9863105957745129	0.9721365396423617	0.9945998870550796	0.9785037023765794	0.9739986942706685	0.9933106666186899	0.9711791175190603	0.9934313455298005	0.9963195779270552	0.9729123016663971	0.9963491481959446	1.0
Physostegia.virginiana	0.9852173404239835	0.0	0.9797307436388702	0.9994808235488422	0.9458317602690633	0.4833444093207214	0.9997767389006228	0.4315929778941514	0.5214818888635881	0.9675035889527963	0.30328566565214243	0.45266417247025237	0.9489089280653594	0.48791857768611835	0.9597068497643712	0.9979269723400149	0.4674407964749828	0.9997511594901534	0.9847513568569263
Ruellia.brittoniana	0.9941222466654692	0.9797307436388702	0.0	0.302907441790243	0.19762830362217865	0.9773570307524064	0.2984721984364874	0.6590232730422646	0.9981431957390888	0.23215656326732004	0.9057699482786415	0.8635131593586229	0.3099648266863886	0.9762910928456761	0.8475398692686582	0.2549658826345438	0.9679552152492739	0.17636553318935533	1.0
Salvia.azurea	0.9963226911888066	0.9994808235488422	0.302907441790243	0.0	0.15637944096295386	0.9990849840174119	0.008931864299885128	0.8063374823169606	0.9999134550021789	0.09807498942440795	0.997585678811659	0.8677112841355437	0.5597264030980149	0.999023679555765	0.9960441968660447	0.07924024439065158	0.9763527733639311	0.18649540908794704	1.0
Salvia.ballotiflora	0.993963334390554	0.9458317602690633	0.19762830362217865	0.15637944096295386	0.0	0.9086093065027266	0.14605552673976818	0.7366231495100175	0.9147188012495593	0.05836470770866098	0.9312688381548427	0.7498439596899712	0.49850879387666236	0.9094794928491884	0.9985633482321666	0.08542634036415542	0.8808233916586825	0.03850911399281798	1.0
Salvia.blepharophylla	0.9715343896367736	0.4833444093207214	0.9773570307524064	0.9990849840174119	0.9086093065027266	0.0	0.9996102768110885	0.6475929601219683	0.07323142227913793	0.9387192283077708	0.3304380064757242	0.08252974512033273	0.9650054881681175	0.009260534952184596	0.9549022991711359	1.0	0.03190297781884599	0.9996432094332857	1.0
Salvia.chionophylla	0.9963190963769657	0.9997767389006228	0.2984721984364874	0.008931864299885128	0.14605552673976818	0.9996102768110885	0.0	0.8050040771564374	0.9999629189589708	0.0892308588267986	0.9989566339688117	0.8664720519878548	0.5590778391000873	0.9995796918064015	0.9982823710580317	0.06879474989031853	0.9763518234057709	0.17568845926398524	1.0
Salvia.coccinea	0.9863105957745129	0.4315929778941514	0.6590232730422646	0.8063374823169606	0.7366231495100175	0.6475929601219683	0.8050040771564374	0.0	0.6930417689572569	0.7629695199352803	0.432553481204057	0.6058782976527286	0.5152166804724854	0.6493474219660176	0.8183633652700673	0.7927516184231523	0.6427728667212305	0.7583319727575789	1.0
Salvia.darcyi	0.9721365396423617	0.5214818888635881	0.9981431957390888	0.9999134550021789	0.9147188012495593	0.07323142227913793	0.9999629189589708	0.6930417689572569	0.0	0.9437423733333937	0.3967301628128369	0.14492236272279024	0.9971219604860339	0.06515504452745069	0.9962779116017919	1.0	0.09819097552043687	0.9999706233256717	1.0
Salvia.farinacea	0.9945998870550796	0.9675035889527963	0.23215656326732004	0.09807498942440795	0.05836470770866098	0.9387192283077708	0.0892308588267986	0.7629695199352803	0.9437423733333937	0.0	0.9565913574242036	0.7968821257401086	0.5162526391539088	0.9392257313068325	0.9942463435782457	0.02844921899879327	0.9138496214382316	0.09498728387490618	1.0
Salvia.greggii	0.9785037023765794	0.30328566565214243	0.9057699482786415	0.997585678811659	0.9312688381548427	0.3304380064757242	0.9989566339688117	0.432553481204057	0.3967301628128369	0.9565913574242036	0.0	0.3028597897683565	0.8003643845133285	0.3350503976028707	0.8116752468596802	1.0	0.32239138487310637	0.9986098457232636	0.920015865145625
Salvia.leucantha	0.9739986942706685	0.45266417247025237	0.8635131593586229	0.8677112841355437	0.7498439596899712	0.08252974512033273	0.8664720519878548	0.6058782976527286	0.14492236272279024	0.7968821257401086	0.3028597897683565	0.0	0.9053389947599098	0.09123569416711252	0.979531490921711	0.8573426998653698	0.05083227635327037	0.8509038721006225	1.0
Salvia.microphylla	0.9933106666186899	0.9489089280653594	0.3099648266863886	0.5597264030980149	0.49850879387666236	0.9650054881681175	0.5590778391000873	0.5152166804724854	0.9971219604860339	0.5162526391539088	0.8003643845133285	0.9053389947599098	0.0	0.9631653422636239	0.7621321671659982	0.53496248883431	0.9691711940381003	0.48347028795514113	1.0
Salvia.regla	0.9711791175190603	0.48791857768611835	0.9762910928456761	0.999023679555765	0.9094794928491884	0.009260534952184596	0.9995796918064015	0.6493474219660176	0.06515504452745069	0.9392257313068325	0.3350503976028707	0.09123569416711252	0.9631653422636239	0.0	0.9522281861956968	1.0	0.04083599682695205	0.9996236808707902	1.0
Salvia.roemeriana	0.9934313455298005	0.9597068497643712	0.8475398692686582	0.9960441968660447	0.9985633482321666	0.9549022991711359	0.9982823710580317	0.8183633652700673	0.9962779116017919	0.9942463435782457	0.8116752468596802	0.979531490921711	0.7621321671659982	0.9522281861956968	0.0	1.0	0.9765351930828416	0.9980925308508555	1.0
Salvia.sinaloensis	0.9963195779270552	0.9979269723400149	0.2549658826345438	0.07924024439065158	0.08542634036415542	1.0	0.06879474989031853	0.7927516184231523	1.0	0.02844921899879327	1.0	0.8573426998653698	0.53496248883431	1.0	1.0	0.0	0.974910372123856	0.11630427997865156	0.9822268393015007
Scutellaria.suffrutescens	0.9729123016663971	0.4674407964749828	0.9679552152492739	0.9763527733639311	0.8808233916586825	0.03190297781884599	0.9763518234057709	0.6427728667212305	0.09819097552043687	0.9138496214382316	0.32239138487310637	0.05083227635327037	0.9691711940381003	0.04083599682695205	0.9765351930828416	0.974910372123856	0.0	0.9751602745851176	1.0
Scutellaria.wrightii	0.9963491481959446	0.9997511594901534	0.17636553318935533	0.18649540908794704	0.03850911399281798	0.9996432094332857	0.17568845926398524	0.7583319727575789	0.9999706233256717	0.09498728387490618	0.9986098457232636	0.8509038721006225	0.48347028795514113	0.9996236808707902	0.9980925308508555	0.11630427997865156	0.9751602745851176	0.0	1.0
Stachys.coccinea	1.0	0.9847513568569263	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.920015865145625	1.0	1.0	1.0	1.0	0.9822268393015007	1.0	1.0	0.0
