	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	0.43560092537718775	0.37717475111119747	0.3073957960657411	0.8786451335636454	0.4007376243788361	1.0	0.38653497342039056	0.36985470411064636	0.2670184740531193	0.3729735041338009	0.4115191607850742	1.0	0.3267302385792308	0.3192378797077158	0.437175856173457	0.437175856173457	0.32721574386724006	1.0
Physostegia.virginiana	0.43560092537718775	0.0	0.09777311344190065	0.21858198035008558	0.9024087519612096	0.06266052957383539	1.0	0.4602737860015147	0.11917013184009162	0.5009063524979815	0.1121541437585426	0.04306359267145121	0.9985880401321049	0.38894880032081247	0.32768967356644707	0.0027933766453561715	0.0027933766453561715	0.18080491966362755	0.9987177938329068
Ruellia.brittoniana	0.37717475111119747	0.09777311344190065	0.0	0.1376901655979753	0.8923407391632556	0.04204196693727191	1.0	0.4044017279970381	0.02815948611330621	0.4477925376084244	0.020244998172561757	0.05927692082271885	1.0	0.3256932326150044	0.25808862643076	0.10029073789019027	0.10029073789019027	0.0961204780020618	1.0
Salvia.azurea	0.3073957960657411	0.21858198035008558	0.1376901655979753	0.0	0.8778233633213859	0.17031327678639308	0.9710822176480669	0.3376731791442181	0.12755546324266476	0.3820982734047387	0.13187348332341398	0.1852404572268933	1.0	0.2501464854461124	0.17497214404987615	0.22076249296826944	0.22076249296826944	0.06750637075875088	1.0
Salvia.ballotiflora	0.8786451335636454	0.9024087519612096	0.8923407391632556	0.8778233633213859	0.0	0.8949278371570054	0.9085625711043971	0.30229178716072513	0.8885471290637406	0.869958551697793	0.8083674271637359	0.897408203631174	0.9780928725677489	0.8794811435443871	0.5040769120232531	0.9027123074834474	0.9027123074834474	0.8816404066664519	0.9812420246801563
Salvia.blepharophylla	0.4007376243788361	0.06266052957383539	0.04204196693727191	0.17031327678639308	0.8949278371570054	0.0	1.0	0.42693454378552564	0.05752249188707381	0.46718582282569954	0.057311322928314645	0.019924763244804078	0.9330108751782847	0.35120376696111666	0.28616062377057805	0.06537848292311133	0.06537848292311133	0.12524190279245495	0.9407939904286737
Salvia.chionophylla	1.0	1.0	1.0	0.9710822176480669	0.9085625711043971	1.0	0.0	1.0	1.0	0.8360851803493995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9991336867861829	1.0
Salvia.coccinea	0.38653497342039056	0.4602737860015147	0.4044017279970381	0.3376731791442181	0.30229178716072513	0.42693454378552564	1.0	0.0	0.39740167886240985	0.45754542545572285	0.34182188937709457	0.4372447623653749	1.0	0.3560099273929592	0.08540641812475147	0.46177986826528894	0.46177986826528894	0.35662669248174395	1.0
Salvia.darcyi	0.36985470411064636	0.11917013184009162	0.02815948611330621	0.12755546324266476	0.8885471290637406	0.05752249188707381	1.0	0.39740167886240985	0.0	0.43780502034670743	0.021598603717759346	0.07600390186784278	0.8903728888501831	0.3177681248277814	0.2493729904446308	0.12178366862920587	0.12178366862920587	0.07616229047361356	0.8760007013610746
Salvia.farinacea	0.2670184740531193	0.5009063524979815	0.4477925376084244	0.3820982734047387	0.869958551697793	0.46718582282569954	0.8360851803493995	0.45754542545572285	0.43780502034670743	0.0	0.4455946687527842	0.47794609756441464	0.9563982514543679	0.4045562089227853	0.39808261486650487	0.5023612112897543	0.5023612112897543	0.40100807152855833	0.9626660078711673
Salvia.greggii	0.3729735041338009	0.1121541437585426	0.020244998172561757	0.13187348332341398	0.8083674271637359	0.057311322928314645	1.0	0.34182188937709457	0.021598603717759346	0.4455946687527842	0.0	0.07427156055555073	0.9998859997864801	0.32114471876883566	0.21140436717543676	0.11463163857419079	0.11463163857419079	0.09002218273836282	1.0
Salvia.leucantha	0.4115191607850742	0.04306359267145121	0.05927692082271885	0.1852404572268933	0.897408203631174	0.019924763244804078	1.0	0.4372447623653749	0.07600390186784278	0.47794609756441464	0.07427156055555073	0.0	0.9608142737511046	0.3628764841069049	0.2990035545737114	0.04579612546760248	0.04579612546760248	0.14275421904708407	0.9540537765758289
Salvia.microphylla	1.0	0.9985880401321049	1.0	1.0	0.9780928725677489	0.9330108751782847	1.0	1.0	0.8903728888501831	0.9563982514543679	0.9998859997864801	0.9608142737511046	0.0	1.0	1.0	1.0	1.0	0.9251866181943309	0.1543263884001307
