	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	0.2678189749696336	0.4052178080050878	0.4728047389976885	0.4145224088298872	0.24180689038089687	0.4719489392898004	0.21317439781158198	0.21119117783991104	0.26801129587786154	0.24729648469225918	0.22062422182774022	0.4470557441521731	0.25574062504934725	0.6041917707853957	0.5110935417882605	0.23595657545883264	0.1939162873339032	0.3041494266202365
Physostegia.virginiana	0.2678189749696336	0.0	0.3236416001029413	0.5773873065462622	0.5379493668381377	0.438972573281066	0.5757441096736873	0.3441530548664966	0.35329194923477525	0.45288191326435845	0.35511234027055727	0.38234770665554585	0.5737838254602144	0.43024969830075177	0.5902669145191382	0.5413197250678861	0.29220004650380715	0.2874912619793264	0.451236285119484
Ruellia.brittoniana	0.4052178080050878	0.3236416001029413	0.0	0.561979362253584	0.5689655910251652	0.40809487029815494	0.5585567091698976	0.4421737922661346	0.206353298776219	0.4711758262808001	0.14083867520458926	0.3264739674037964	0.21388472647532897	0.502431053999497	0.3997692000795078	0.42689724639858984	0.26539957963382377	0.2602523075999873	0.5800245637309629
Salvia.azurea	0.4728047389976885	0.5773873065462622	0.561979362253584	0.0	0.527890285737598	0.38080169854388146	0.002357354690201041	0.27579237698671843	0.4611082788780301	0.2796506399729386	0.44393737011013046	0.4477700252360378	0.37277682441647986	0.2761250573908103	0.9117832203747381	0.829925342193123	0.6950879861791504	0.5540611898276057	0.3555523937886431
Salvia.ballotiflora	0.4145224088298872	0.5379493668381377	0.5689655910251652	0.527890285737598	0.0	0.2690239827840233	0.5280178209923072	0.3724418471705694	0.2672689594741804	0.22107530821888055	0.4087221964812616	0.23431417177497738	0.49136496010323316	0.2830961484983211	0.30206857463840875	0.1838783002401858	0.3893115250712027	0.2962799565407025	0.24635749810566732
Salvia.blepharophylla	0.24180689038089687	0.438972573281066	0.40809487029815494	0.38080169854388146	0.2690239827840233	0.0	0.3818507727306166	0.11034938743252187	0.10213464803924499	0.08979946463885513	0.2478338485617947	0.0325887848224915	0.36921989856362214	0.06557428327214798	0.5342228587909944	0.3918713952543862	0.2891167794718078	0.16384545067078682	0.10419980145719188
Salvia.chionophylla	0.4719489392898004	0.5757441096736873	0.5585567091698976	0.002357354690201041	0.5280178209923072	0.3818507727306166	0.0	0.2750195784004573	0.4601324466566328	0.27840936224281	0.44155083819191976	0.44806047897047785	0.37095508911790676	0.27580606946917585	0.9116512192687751	0.8307612734715893	0.6951693303643305	0.5542646625763931	0.358309840300182
Salvia.coccinea	0.21317439781158198	0.3441530548664966	0.4421737922661346	0.27579237698671843	0.3724418471705694	0.11034938743252187	0.2750195784004573	0.0	0.16268252955564777	0.11675758942158554	0.2470147929604244	0.13750321568817592	0.42886015935876254	0.0687588617391226	0.7235388969990632	0.5954725503779394	0.3961264600042973	0.23160242051404434	0.14929684410742106
Salvia.darcyi	0.21119117783991104	0.35329194923477525	0.206353298776219	0.4611082788780301	0.2672689594741804	0.10213464803924499	0.4601324466566328	0.16268252955564777	0.0	0.15420364982392376	0.09356552335122625	0.04274912547395637	0.2542528606557818	0.17057546328910844	0.3903182357924243	0.2977187577907229	0.160072713944873	0.06576030689052115	0.21109486773859765
Salvia.farinacea	0.26801129587786154	0.45288191326435845	0.4711758262808001	0.2796506399729386	0.22107530821888055	0.08979946463885513	0.27840936224281	0.11675758942158554	0.15420364982392376	0.0	0.26257745460853055	0.11170061721888624	0.32645328087663816	0.044352097785468114	0.5894047405648184	0.4432985584891952	0.38340075775066684	0.23263579564754855	0.06141875496443394
Salvia.greggii	0.24729648469225918	0.35511234027055727	0.14083867520458926	0.44393737011013046	0.4087221964812616	0.2478338485617947	0.44155083819191976	0.2470147929604244	0.09356552335122625	0.26257745460853055	0.0	0.18524562159354874	0.1769998399417314	0.28600894231677854	0.4431557697230192	0.40747593124832415	0.17454823073087955	0.10763506766427622	0.3593545022434831
Salvia.leucantha	0.22062422182774022	0.38234770665554585	0.3264739674037964	0.4477700252360378	0.23431417177497738	0.0325887848224915	0.44806047897047785	0.13750321568817592	0.04274912547395637	0.11170061721888624	0.18524562159354874	0.0	0.33753434105628743	0.10726768733578795	0.43523207850514056	0.3068736051987788	0.21024170985820934	0.0973124405358825	0.1326271792310254
Salvia.microphylla	0.4470557441521731	0.5737838254602144	0.21388472647532897	0.37277682441647986	0.49136496010323316	0.36921989856362214	0.37095508911790676	0.42886015935876254	0.2542528606557818	0.32645328087663816	0.1769998399417314	0.33753434105628743	0.0	0.4023231490835467	0.4390061849303992	0.44308584542023965	0.383236635627742	0.3335439385079523	0.4521840819914913
Salvia.regla	0.25574062504934725	0.43024969830075177	0.502431053999497	0.2761250573908103	0.2830961484983211	0.06557428327214798	0.27580606946917585	0.0687588617391226	0.17057546328910844	0.044352097785468114	0.28600894231677854	0.10726768733578795	0.4023231490835467	0.0	0.6696987124255243	0.5192429131868047	0.4044423138904404	0.24669757662512326	0.06822433298478947
Salvia.roemeriana	0.6041917707853957	0.5902669145191382	0.3997692000795078	0.9117832203747381	0.30206857463840875	0.5342228587909944	0.9116512192687751	0.7235388969990632	0.3903182357924243	0.5894047405648184	0.4431557697230192	0.43523207850514056	0.4390061849303992	0.6696987124255243	0.0	0.08763736756129148	0.35330725008808306	0.377540388373631	0.6097875715364308
Salvia.sinaloensis	0.5110935417882605	0.5413197250678861	0.42689724639858984	0.829925342193123	0.1838783002401858	0.3918713952543862	0.8307612734715893	0.5954725503779394	0.2977187577907229	0.4432985584891952	0.40747593124832415	0.3068736051987788	0.44308584542023965	0.5192429131868047	0.08763736756129148	0.0	0.29376199465216146	0.28559845405844786	0.4367848586038805
Scutellaria.suffrutescens	0.23595657545883264	0.29220004650380715	0.26539957963382377	0.6950879861791504	0.3893115250712027	0.2891167794718078	0.6951693303643305	0.3961264600042973	0.160072713944873	0.38340075775066684	0.17454823073087955	0.21024170985820934	0.383236635627742	0.4044423138904404	0.35330725008808306	0.29376199465216146	0.0	0.09516981587355966	0.40551487568527833
Scutellaria.wrightii	0.1939162873339032	0.2874912619793264	0.2602523075999873	0.5540611898276057	0.2962799565407025	0.16384545067078682	0.5542646625763931	0.23160242051404434	0.06576030689052115	0.23263579564754855	0.10763506766427622	0.0973124405358825	0.3335439385079523	0.24669757662512326	0.377540388373631	0.28559845405844786	0.09516981587355966	0.0	0.24362590286428898
Stachys.coccinea	0.3041494266202365	0.451236285119484	0.5800245637309629	0.3555523937886431	0.24635749810566732	0.10419980145719188	0.358309840300182	0.14929684410742106	0.21109486773859765	0.06141875496443394	0.3593545022434831	0.1326271792310254	0.4521840819914913	0.06822433298478947	0.6097875715364308	0.4367848586038805	0.40551487568527833	0.24362590286428898	0.0
