	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	0.6240648675530891	0.9981073996012454	0.8985633848337546	0.9838938913318358	0.9773307847862162	0.9963014886855582	0.9342816659994498	0.9827221780826116	0.4113772615411062	0.9604377284440577	0.9847098014543814	0.86719867646549	0.6011254161938013	1.0	0.9464469705604762	0.5737308919732076	0.9671894655256467	0.9641996911327304
Physostegia.virginiana	0.6240648675530891	0.0	1.0	0.9301062830942436	0.9879525061390161	0.9830420747613838	1.0	0.9508421778507742	0.9870760555656529	0.5694265203201545	0.9711300692431614	0.9885681353260515	0.9519012244370206	0.7016387261060599	0.6859072747863422	0.9787880284502007	0.42492523933958337	0.9914286519285476	0.6875539838970658
Ruellia.brittoniana	0.9981073996012454	1.0	0.0	0.15384078144861446	0.9999321029460215	0.8719677958870004	0.08547247150153914	0.040097047067800484	0.9970185241249775	1.0	0.9658315018940541	0.9999413755599875	0.8387802276253482	1.0	0.8255321891480443	1.0	1.0	0.9299099189855234	1.0
Salvia.azurea	0.8985633848337546	0.9301062830942436	0.15384078144861446	0.0	0.9948503559763354	0.8790478306054889	0.20300808880680343	0.12148605940250146	0.9956392686890123	0.8503092189168417	0.9458042152792815	0.9958037882366383	0.9864196250567607	0.9212108650479907	0.9732653431301783	1.0	0.9420877321576525	0.9951149147149866	1.0
Salvia.ballotiflora	0.9838938913318358	0.9879525061390161	0.9999321029460215	0.9948503559763354	0.0	0.20172004823022138	0.9999274572907568	0.9967270218050871	0.0483128646398272	0.9703621477374658	0.996943215809252	0.048419432082678626	1.0	0.966213315145502	0.9981871744258056	1.0	0.9909012742451476	1.0	1.0
Salvia.blepharophylla	0.9773307847862162	0.9830420747613838	0.8719677958870004	0.8790478306054889	0.20172004823022138	0.0	0.8632765709386659	0.8683568712848388	0.2374146190015184	0.9615120732673731	0.9846364110600901	0.2374261117756099	0.9988622486528178	0.9687510855415399	0.997310809069501	0.9948982600319582	0.9875593196850462	0.99951513613057	1.0
Salvia.chionophylla	0.9963014886855582	1.0	0.08547247150153914	0.20300808880680343	0.9999274572907568	0.8632765709386659	0.0	0.0951061322960336	0.9984510479553311	0.9969974976303437	0.9688742069609648	0.9999505734356269	0.9245774756543033	1.0	0.9187997658849113	1.0	0.9999351307429746	0.9626290846870011	1.0
Salvia.coccinea	0.9342816659994498	0.9508421778507742	0.040097047067800484	0.12148605940250146	0.9967270218050871	0.8683568712848388	0.0951061322960336	0.0	0.9969681516873576	0.8946823523226752	0.9623042423027836	0.9970689552910341	0.9822743189760669	0.937136521532634	0.9828630654675176	0.9818072974971085	0.9638762597033377	0.9952866030073658	1.0
Salvia.darcyi	0.9827221780826116	0.9870760555656529	0.9970185241249775	0.9956392686890123	0.0483128646398272	0.2374146190015184	0.9984510479553311	0.9969681516873576	0.0	0.9719649169621174	0.9961314526978163	0.0007063462021230649	0.9904636845836147	0.9604279536950323	0.9891533515902527	1.0	0.990600463244675	0.9952865390411213	1.0
Salvia.farinacea	0.4113772615411062	0.5694265203201545	1.0	0.8503092189168417	0.9703621477374658	0.9615120732673731	0.9969974976303437	0.8946823523226752	0.9719649169621174	0.0	0.9438806822654223	0.9739261127023955	0.9918160717386403	0.42374708852321796	0.9666541138441974	0.9109065183267754	0.6835243459663118	1.0	0.9990754401824474
Salvia.greggii	0.9604377284440577	0.9711300692431614	0.9658315018940541	0.9458042152792815	0.996943215809252	0.9846364110600901	0.9688742069609648	0.9623042423027836	0.9961314526978163	0.9438806822654223	0.0	0.9970924368616108	0.9782341031569037	0.9247337011087863	0.9845414464516242	1.0	0.9792974275714408	0.9912185285665354	0.9996508982749307
Salvia.leucantha	0.9847098014543814	0.9885681353260515	0.9999413755599875	0.9958037882366383	0.048419432082678626	0.2374261117756099	0.9999505734356269	0.9970689552910341	0.0007063462021230649	0.9739261127023955	0.9970924368616108	0.0	1.0	0.9646662489977569	0.9989110934160768	0.9976808578917734	0.9915810646500378	1.0	1.0
Salvia.microphylla	0.86719867646549	0.9519012244370206	0.8387802276253482	0.9864196250567607	1.0	0.9988622486528178	0.9245774756543033	0.9822743189760669	0.9904636845836147	0.9918160717386403	0.9782341031569037	1.0	0.0	1.0	0.49523974986833785	0.8729781913200698	0.7623881433366301	0.7126620725173637	1.0
Salvia.regla	0.6011254161938013	0.7016387261060599	1.0	0.9212108650479907	0.966213315145502	0.9687510855415399	1.0	0.937136521532634	0.9604279536950323	0.42374708852321796	0.9247337011087863	0.9646662489977569	1.0	0.0	1.0	1.0	0.7898266454514783	1.0	1.0
Salvia.roemeriana	1.0	0.6859072747863422	0.8255321891480443	0.9732653431301783	0.9981871744258056	0.997310809069501	0.9187997658849113	0.9828630654675176	0.9891533515902527	0.9666541138441974	0.9845414464516242	0.9989110934160768	0.49523974986833785	1.0	0.0	1.0	0.5900691425088537	0.781814527141894	0.5931247817460412
Salvia.sinaloensis	0.9464469705604762	0.9787880284502007	1.0	1.0	1.0	0.9948982600319582	1.0	0.9818072974971085	1.0	0.9109065183267754	1.0	0.9976808578917734	0.8729781913200698	1.0	1.0	0.0	0.908106788358975	0.9724761947629701	1.0
Scutellaria.suffrutescens	0.5737308919732076	0.42492523933958337	1.0	0.9420877321576525	0.9909012742451476	0.9875593196850462	0.9999351307429746	0.9638762597033377	0.990600463244675	0.6835243459663118	0.9792974275714408	0.9915810646500378	0.7623881433366301	0.7898266454514783	0.5900691425088537	0.908106788358975	0.0	0.7480363321019105	0.5956000921414407
Scutellaria.wrightii	0.9671894655256467	0.9914286519285476	0.9299099189855234	0.9951149147149866	1.0	0.99951513613057	0.9626290846870011	0.9952866030073658	0.9952865390411213	1.0	0.9912185285665354	1.0	0.7126620725173637	1.0	0.781814527141894	0.9724761947629701	0.7480363321019105	0.0	1.0
