	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	0.813090371909507	0.7792120280949941	0.9168505553134245	0.9158560328746888	0.7999122943271775	0.9865790024837863	0.7644904923796921	0.8163983252101092	0.8149273593303482	0.769550810746633	0.7974338008246125	0.8490337933379143	0.7882583444320066	0.8716829347848715	0.8551502873870915	0.7510594983594688	0.7708255662598642	0.8078689035721384
Physostegia.virginiana	0.813090371909507	0.0	0.5827002455119128	0.8322420740458616	0.8551403255377057	0.6662010996296985	0.9782448079009916	0.5701324377711806	0.6787492898094527	0.6771134926680946	0.5749245940295744	0.660212335594001	0.7366915844977688	0.6158523058355667	0.6472481526292166	0.6607013814847749	0.5353297139155133	0.6614071653268239	0.656559288540684
Ruellia.brittoniana	0.7792120280949941	0.5827002455119128	0.0	0.7897102918767631	0.8409022112650417	0.5973485828891696	0.8638531341456873	0.5641148071048359	0.5633000053533759	0.6655505691136115	0.3341703515583311	0.5875656442164163	0.48644505778892055	0.6639471978271583	0.5525147390959342	0.5906244875550895	0.32663986297162495	0.4525435446053556	0.7232619387576954
Salvia.azurea	0.9168505553134245	0.8322420740458616	0.7897102918767631	0.0	0.5233440397767473	0.8011609342482295	0.23001477347847077	0.6217793802890625	0.8013797573500748	0.25417782465852357	0.7253833272884059	0.7835430528950741	0.6812798046268791	0.6149386097039964	0.9559260571582574	0.5160047309915148	0.8479535351912695	0.7791493377869574	0.6547779810629073
Salvia.ballotiflora	0.9158560328746888	0.8551403255377057	0.8409022112650417	0.5233440397767473	0.0	0.33573337230984746	0.6147571581461377	0.7059378554418148	0.26941017071826456	0.4097975327166734	0.7324039218437293	0.29959771625277987	0.8278389263759074	0.7220454612612948	0.786490741421532	0.4931526745829974	0.7252748390705299	0.7385407162815656	0.7284627418571419
Salvia.blepharophylla	0.7999122943271775	0.6662010996296985	0.5973485828891696	0.8011609342482295	0.33573337230984746	0.0	0.9445033085737754	0.4114045798725132	0.1379455221671273	0.544899642220697	0.47361491624058916	0.10293244800309576	0.6537349183224068	0.4680900418719959	0.7050114014305452	0.6461240920887975	0.4226365256933904	0.5633575330364974	0.5025795311041149
Salvia.chionophylla	0.9865790024837863	0.9782448079009916	0.8638531341456873	0.23001477347847077	0.6147571581461377	0.9445033085737754	0.0	0.9120808657528156	0.9695065769343978	0.5105898127292454	0.9565768494268001	0.9620129985126368	0.9410726000147698	0.941544747141592	0.9914825837692172	0.6036462466177368	0.9770094295082777	0.9054846941367662	0.9476426737671154
Salvia.coccinea	0.7644904923796921	0.5701324377711806	0.5641148071048359	0.6217793802890625	0.7059378554418148	0.4114045798725132	0.9120808657528156	0.0	0.3809742397853777	0.2691142788114139	0.27100860466380194	0.3179396106950394	0.47576381606610907	0.12299704452088811	0.7144794198152731	0.6087708228462713	0.42128672621075114	0.5232478113652007	0.21027073113870243
Salvia.darcyi	0.8163983252101092	0.6787492898094527	0.5633000053533759	0.8013797573500748	0.26941017071826456	0.1379455221671273	0.9695065769343978	0.3809742397853777	0.0	0.489620899087542	0.32319390671761916	0.035641509208628075	0.49919326411150045	0.4259511030919375	0.5439014359097403	0.5093169712356608	0.3778259843505174	0.5536816735187337	0.4642618756628728
Salvia.farinacea	0.8149273593303482	0.6771134926680946	0.6655505691136115	0.25417782465852357	0.4097975327166734	0.544899642220697	0.5105898127292454	0.2691142788114139	0.489620899087542	0.0	0.4077611713900594	0.44268362901494407	0.5533959464243592	0.31330578768933115	0.6970830644208474	0.3013617283003094	0.506360880693028	0.53768008742678	0.36844762724006075
