	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Physostegia.virginiana	1.0	0.0	1.0	1.0	1.0	0.9978526945031333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9602487878806573	0.9998828802131792	0.5805074068304614
Ruellia.brittoniana	1.0	1.0	0.0	1.0	1.0	0.9529116959498947	0.9533307010147186	0.9498904811595613	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.azurea	1.0	1.0	1.0	0.0	1.0	1.0	0.9143731989378767	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.ballotiflora	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7822894966391254	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.blepharophylla	1.0	0.9978526945031333	0.9529116959498947	1.0	1.0	0.0	0.5602265383694496	0.20854503026082494	1.0	1.0	1.0	1.0	0.7360221817184851	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.chionophylla	1.0	1.0	0.9533307010147186	0.9143731989378767	1.0	0.5602265383694496	0.0	0.532010400339494	1.0	0.983395134829317	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.coccinea	1.0	1.0	0.9498904811595613	1.0	1.0	0.20854503026082494	0.532010400339494	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8828829947830754	0.9991889996031321	1.0
Salvia.darcyi	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.32758440314625636	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.farinacea	1.0	1.0	1.0	1.0	1.0	1.0	0.983395134829317	1.0	1.0	0.0	1.0	0.9672132061144068	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.greggii	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9998583184795394	1.0
Salvia.leucantha	1.0	1.0	1.0	1.0	0.7822894966391254	1.0	1.0	1.0	0.32758440314625636	0.9672132061144068	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.microphylla	1.0	1.0	1.0	1.0	1.0	0.7360221817184851	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Salvia.regla	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
Salvia.roemeriana	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.286061397368784	1.0	1.0	1.0
Salvia.sinaloensis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.286061397368784	0.0	1.0	1.0	1.0
Scutellaria.suffrutescens	1.0	0.9602487878806573	1.0	1.0	1.0	1.0	1.0	0.8828829947830754	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9479305894803636	1.0
Scutellaria.wrightii	1.0	0.9998828802131792	1.0	1.0	1.0	1.0	1.0	0.9991889996031321	1.0	1.0	0.9998583184795394	1.0	1.0	1.0	1.0	1.0	0.9479305894803636	0.0	1.0
Stachys.coccinea	1.0	0.5805074068304614	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
