CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
17865	18091	0	17865	0.9488	17865	139	NA
3358	3439	-0.001	3358	0.9388	3358	195	NA
2088	2170	0	2088	0.9252	2088	204	NA
2088	2920	0	2088	0.9146	2088	204	NA
2170	2920	0	2170	0.9026	2170	204	NA
2920	3034	0	2920	0.9275	2920	204	NA
2088	3034	0	2088	0.9683	2088	204	NA
2170	3034	0	2170	0.9368	2170	204	NA
6145	6231	-0.002	6145	0.9287	6145	208	NA
6773	7015	-0.001	6773	0.972	6773	208	NA
15833	17524	0	15833	0.8731	15833	220	NA
17524	20344	18.01	17524	0.8507	17524	220	H2O
15479	16369	0	15479	0.954	15479	220	NA
16719	16927	-0.001	16719	0.9384	16719	220	NA
15833	20344	18.009	15833	0.8539	15833	220	H2O
29518	29747	0	29518	0.7696	29518	254	NA
15642	16592	0	15642	0.9937	15642	505	NA
11988	12336	-0.001	11988	0.8898	11988	558	NA
2788	3041	0	2788	0.9925	2788	633	NA
2091	2788	-0.001	2091	0.9758	2091	633	NA
2163	2788	0	2163	0.9567	2163	633	NA
2163	3041	0	2163	0.9562	2163	633	NA
2091	3041	0	2091	0.9743	2091	633	NA
2091	2163	0	2091	0.9725	2091	633	NA
8944	9295	-0.001	8944	0.7475	8944	653	NA
25765	25986	42.012	25765	0.8892	25765	661	N3:C2H2O
2249	2296	0	2249	0.7777	2249	733	NA
2296	2344	0	2296	0.7763	2296	733	NA
2249	2344	0	2249	0.764	2249	733	NA
27255	27375	-0.002	27255	0.8809	27255	1305	NA
27375	27377	-182.057	27375	0.8757	27375	1305	NA
19653	19928	0	19653	0.9158	19653	1606	NA
13487	19653	0	13487	0.8862	13487	1606	NA
13487	19928	0	13487	0.8627	13487	1606	NA
25073	27497	-62.016	25073	0.823	25073	1708	H2N2O2:C5H2
2699	4153	15.995	2699	0.8456	2699	1849	O
3752	4153	0	3752	0.7527	3752	1849	NA
3644	4583	-179.079	3644	0.7861	3644	2083	NA
4577	4583	-179.079	4577	0.787	4577	2083	NA
3644	4577	0	3644	0.9688	3644	2083	NA
26936	27097	-0.001	26936	0.9017	26936	2185	NA
27084	27097	122.037	27084	0.9299	27084	2185	NA
26551	26771	-0.001	26551	0.7637	26551	2254	NA
17939	18160	-0.001	17939	0.9818	17939	2927	NA
27256	27364	-0.002	27256	0.8597	27256	4760	NA
27253	27371	-0.001	27253	0.8066	27253	5963	NA
3371	3442	-0.001	3371	0.896	3371	7058	NA
13399	13399	0	1	1	1	-1	NA
17068	17068	0	1	1	1	-1	NA
15982	15982	0	1	1	1	-1	NA
14903	14903	0	1	1	1	-1	NA
16976	16976	0	1	1	1	-1	NA
15398	15398	0	1	1	1	-1	NA
25064	25064	0	1	1	1	-1	NA
4152	4152	0	1	1	1	-1	NA
20115	20115	0	1	1	1	-1	NA
5315	5315	0	1	1	1	-1	NA
28608	28608	0	1	1	1	-1	NA
27254	27254	0	1	1	1	-1	NA
23993	23993	0	1	1	1	-1	NA
26928	26928	0	1	1	1	-1	NA
27344	27344	0	1	1	1	-1	NA
27846	27846	0	1	1	1	-1	NA
21322	21322	0	1	1	1	-1	NA
13603	13603	0	1	1	1	-1	NA
17845	17845	0	1	1	1	-1	NA
2793	2793	0	1	1	1	-1	NA
2904	2904	0	1	1	1	-1	NA
31667	31667	0	1	1	1	-1	NA
8450	8450	0	1	1	1	-1	NA
16979	16979	0	1	1	1	-1	NA
21032	21032	0	1	1	1	-1	NA
1774	1774	0	1	1	1	-1	NA
21755	21755	0	1	1	1	-1	NA
32364	32364	0	1	1	1	-1	NA
14942	14942	0	1	1	1	-1	NA
19756	19756	0	1	1	1	-1	NA
9221	9221	0	1	1	1	-1	NA
6076	6076	0	1	1	1	-1	NA
19731	19731	0	1	1	1	-1	NA
3036	3036	0	1	1	1	-1	NA
2931	2931	0	1	1	1	-1	NA
24196	24196	0	1	1	1	-1	NA
24630	24630	0	1	1	1	-1	NA
23360	23360	0	1	1	1	-1	NA
27280	27280	0	1	1	1	-1	NA
24631	24631	0	1	1	1	-1	NA
27454	27454	0	1	1	1	-1	NA
27921	27921	0	1	1	1	-1	NA
25059	25059	0	1	1	1	-1	NA
26896	26896	0	1	1	1	-1	NA
27386	27386	0	1	1	1	-1	NA
31507	31507	0	1	1	1	-1	NA
28462	28462	0	1	1	1	-1	NA
