CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex,EdgeAnnotation
13307,13754,0.001,13307,0.9897,13307,24,NA
2433,2495,0,2433,0.8682,2433,29,NA
1395,1429,0,1395,0.9735,1395,45,NA
27393,28235,-28.032,27393,0.9029,27393,46,C2H4
27338,28235,-28.031,27338,0.9018,27338,46,C2H4
28235,29403,-56.062,28235,0.9321,28235,46,C4H8
27338,27393,0.001,27338,0.9357,27338,46,NA
27393,29403,-84.094,27393,0.9172,27393,46,NA
27338,29403,-84.093,27338,0.9162,27338,46,NA
29353,29952,0,29353,0.9232,29353,56,NA
29431,29458,-0.037,29431,0.9106,29431,68,NA
29458,29640,0,29458,0.9878,29458,68,NA
29431,29640,-0.037,29431,0.9127,29431,68,NA
30604,31066,0,30604,0.902,30604,75,NA
481,2480,144.041,481,0.9099,481,75,NA
481,30710,144.042,481,0.9182,481,75,NA
30604,30710,0,30604,0.9349,30604,75,NA
30177,31066,0,30177,0.9188,30177,75,NA
30710,31066,0,30710,0.9365,30710,75,NA
8191,8792,0,8191,0.9249,8191,97,NA
8191,8528,0,8191,0.8391,8191,97,NA
8528,8792,0,8528,0.9319,8528,97,NA
19656,23328,15.995,19656,0.8499,19656,106,O
19656,20300,15.994,19656,0.86,19656,106,O
20300,23328,0,20300,0.8846,20300,106,NA
524,528,162.052,524,0.8548,524,107,C6H10O5_C6H10O5:C6H10O5_monosaccharide (-H2O):C9H13N3O10P2_cytidine 5' diphosphate (-H2O):C6H10O5
17865,18091,0,17865,0.9488,17865,139,NA
860,1995,0.984,860,0.9283,860,184,NH3<->OH
1995,2085,0,1995,0.9744,1995,184,NA
3358,3439,-0.001,3358,0.9388,3358,195,NA
2088,2170,0,2088,0.9252,2088,204,NA
2088,2920,0,2088,0.9146,2088,204,NA
2170,2920,0,2170,0.9026,2170,204,NA
2920,3034,0,2920,0.9275,2920,204,NA
2088,3034,0,2088,0.9683,2088,204,NA
2170,3034,0,2170,0.9368,2170,204,NA
