CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex,EdgeAnnotation
28938,31274,0,28938,0.9681,28938,1,NA
28938,30712,0,28938,0.9662,28938,1,NA
29978,31274,0,29978,0.8738,29978,1,NA
30712,31274,0,30712,0.991,30712,1,NA
28938,30841,0,28938,0.9394,28938,1,NA
28215,30841,0,28215,0.9592,28215,1,NA
28938,29978,0,28938,0.8786,28938,1,NA
28215,31274,0,28215,0.9872,28215,1,NA
28938,29571,0,28938,0.8617,28938,1,NA
28215,28938,0,28215,0.963,28215,1,NA
28215,30907,0,28215,0.9766,28215,1,NA
30907,31274,0,30907,0.9859,30907,1,NA
28938,30907,0,28938,0.9649,28938,1,NA
30841,31274,0,30841,0.9675,30841,1,NA
28215,29978,-0.001,28215,0.8712,28215,1,NA
30841,30907,0,30841,0.9655,30841,1,NA
29978,30841,0,29978,0.8961,29978,1,NA
29978,30907,0,29978,0.8791,29978,1,NA
30712,30907,0,30712,0.9858,30712,1,NA
29978,30712,0,29978,0.8763,29978,1,NA
30712,30841,0,30712,0.9622,30712,1,NA
28215,30712,0,28215,0.9876,28215,1,NA
30929,30960,0,30929,0.9297,30929,2,NA
26779,27533,0.003,26779,0.8959,26779,2,NA
30065,30343,0.003,30065,0.9403,30065,2,NA
30064,30065,-0.003,30064,0.9176,30064,2,NA
30723,30909,0,30723,0.8919,30723,2,NA
30064,30349,-2.015,30064,0.9273,30064,2,H2
24981,30349,110.001,24981,0.9105,24981,2,NA
30349,30960,86.07,30349,0.9459,30349,2,NA
24398,30349,110.002,24398,0.9179,24398,2,NA
24398,24981,0,24398,0.9471,24398,2,NA
25435,27195,15.997,25435,0.953,25435,2,O
29490,30174,164.084,29490,0.8873,29490,2,NA
24398,30929,196.072,24398,0.8817,24398,2,NA
28534,29490,-11.965,28534,0.8917,28534,2,NA
26779,30064,107.987,26779,0.9265,26779,2,NA
30888,30929,-13.98,30888,0.8851,30888,2,NA
30723,31268,15.995,30723,0.9289,30723,2,O
30174,30888,15.995,30174,0.8897,30174,2,O
27195,28135,11.964,27195,0.8944,27195,2,NA
30064,30343,0,30064,0.9445,30064,2,NA
